# Population size 256
# Games 32
# Board size 6x12
# Mutation std dev 0.05
# Running for 30 generations
0	704	25	5	913	437	174	-858	-373	462
1	1050	108	5	690	655	794	-996	253	865
2	1079	187	5	351	520	704	-758	-20	844
3	1314	281	12	344	547	637	-765	-19	851
4	1437	308	15	840	476	178	-856	-367	710
5	1130	338	21	1032	410	679	-829	-397	791
6	1218	349	32	914	378	705	-185	-298	852
7	1266	357	20	376	623	636	-871	-27	761
8	1590	416	63	891	376	762	-566	-351	798
9	1500	470	62	796	652	651	-953	-254	719
10	1201	433	51	750	517	718	-702	-243	888
11	1572	446	52	732	770	565	-836	-302	879
12	1347	463	58	974	693	657	-1078	-286	923
13	1478	484	107	842	614	607	-675	-266	877
14	1459	500	21	781	535	366	-773	-358	681
15	1570	515	73	810	475	1134	-924	-293	824
16	1526	516	66	803	435	696	-997	-333	896
17	1289	486	105	585	568	785	-771	-9	959
18	1316	514	67	709	451	613	-1019	-324	746
19	1689	542	88	700	441	865	-671	-294	937
20	1544	517	51	623	543	833	-813	-229	932
21	1939	524	55	643	828	624	-999	-193	958
22	1323	511	107	948	657	823	-635	-295	782
23	1536	551	83	697	899	620	-1031	-203	981
24	1648	511	70	602	561	579	-735	-183	962
25	1514	526	32	704	715	688	-741	-233	826
26	1354	535	87	709	721	673	-1225	-273	1095
27	1323	516	109	650	738	565	-883	-269	923
28	1549	553	89	1055	476	639	-490	-222	859
29	1759	554	128	851	646	718	-688	-324	916
