# Population size 256
# Games 32
# Board size 6x12
# Mutation std dev 0.01
# Running for 30 generations
0	614	25	5	77	630	754	-981	288	869
1	1228	127	5	904	616	173	-969	-367	464
2	1191	231	9	425	478	174	-193	-73	454
3	1075	278	9	936	479	678	-860	-382	818
4	1217	307	18	841	187	575	-874	-363	481
5	1370	341	43	827	455	578	-346	-361	810
6	1283	352	26	456	903	175	-196	-22	767
7	1698	386	39	493	688	911	-330	89	787
8	1683	373	38	458	808	747	-860	-3	824
9	1743	407	37	462	813	744	-862	-2	847
10	1777	436	38	947	457	760	-856	-388	846
11	1179	445	35	71	576	480	-1008	89	581
12	1509	437	67	481	685	767	-952	0	829
13	1138	447	58	479	863	781	-332	0	836
14	1520	464	38	478	631	658	-897	54	828
15	1402	503	68	574	695	770	-328	0	871
16	1553	533	100	203	649	775	-829	80	811
17	1364	494	104	442	654	758	-875	0	866
18	1420	555	70	304	656	700	-1019	-14	834
19	1627	547	89	294	479	789	-860	-17	783
20	1610	536	62	495	613	978	-1032	87	836
21	1928	559	43	465	804	758	-974	0	885
22	1526	515	65	450	697	888	-913	0	825
23	1518	520	70	499	888	598	-853	78	813
24	1372	535	23	448	696	808	-972	-11	834
25	1587	575	90	447	603	757	-856	80	776
26	1419	570	92	467	625	875	-860	-9	820
27	1678	545	98	479	655	967	-987	0	811
28	1455	558	101	282	792	799	-1017	82	776
29	1538	599	128	431	612	738	-817	-7	823
