# Population size 256
# Games 32
# Board size 6x12
# Mutation std dev 0.1
# Running for 30 generations
0	728	27	5	77	630	754	-981	288	869
1	1158	116	5	752	538	696	-872	-65	770
2	1037	248	7	924	825	849	-483	-343	870
3	1270	261	21	726	522	733	-437	-79	711
4	1773	335	33	328	691	147	-1088	-20	650
5	1409	368	23	476	608	803	-820	-71	918
6	1410	342	36	410	594	833	-60	-21	836
7	1773	362	77	643	476	400	-463	-245	734
8	1689	349	45	215	562	155	-1072	-21	621
9	1446	360	53	503	625	606	-880	9	1080
10	1205	395	36	723	723	570	-625	-218	713
11	1235	368	43	973	479	1041	-736	-15	724
12	1302	407	76	408	638	894	-534	-13	762
13	1119	397	46	628	460	312	-1046	-204	572
14	1360	417	54	630	539	892	-639	68	783
15	1589	401	52	325	582	725	-701	-51	754
16	1556	399	88	423	902	141	-228	-10	727
17	1809	408	76	712	764	414	-812	-153	862
18	1129	444	49	369	530	495	-695	-46	651
19	1668	450	88	538	545	741	-687	-176	954
20	1764	473	106	201	392	101	-327	1	340
21	1520	467	55	454	341	968	-527	3	630
22	1422	446	62	451	497	911	-723	-101	902
23	1315	446	38	348	682	492	-820	-14	774
24	1750	468	45	490	530	954	-462	-116	840
25	1375	492	77	495	710	459	-478	-28	843
26	1260	437	73	427	966	474	-460	-6	707
27	1313	459	28	361	638	349	-918	-98	964
28	1614	466	34	261	518	438	-1052	-4	604
29	2145	483	46	433	739	550	-674	0	844
