# Population size: 128
# Games: 0
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	633	40	4	0	0	0	912	387	-121	-471	-718	-533	952	-709	666	685	830	-473	96	576
1	1088	137	5	0	0	0	-964	576	694	596	-899	55	247	-758	808	562	959	-422	308	570
2	1296	202	9	0	0	0	-964	576	954	596	-365	-336	527	-473	497	562	627	743	451	546
3	1198	210	32	0	0	0	-132	808	694	309	-831	51	247	-758	808	311	627	743	461	529
4	1312	250	41	0	0	0	1225	762	544	579	-662	-533	952	-230	-7	545	682	-692	569	527
5	2146	299	25	0	0	0	668	816	2272	309	-32	673	296	-582	-98	311	1668	1042	662	539
6	1630	288	34	0	0	0	-8	710	2272	-1080	-54	895	87	202	-121	587	959	-702	641	532
7	1949	428	30	0	0	0	668	816	2272	-471	-32	895	1496	-774	-98	311	1668	-178	965	530
8	2930	460	51	0	0	0	733	816	2272	309	-557	42	346	133	-7	190	1691	-900	1010	516
9	5185	581	20	0	0	0	668	1267	961	309	-899	-210	-2	-1835	-7	105	1668	25	1400	517
10	5079	749	20	0	0	0	668	1267	2555	-1191	-716	35	346	133	-7	105	1691	25	1673	502
11	7849	1134	14	0	0	0	668	1267	2555	-1191	-976	35	360	133	-7	105	1691	-422	2526	490
12	15424	1478	24	0	0	0	1479	1241	2555	-471	-1023	-208	981	133	-201	105	1668	743	3248	487
13	10547	1747	57	0	0	0	668	1267	1843	-553	-450	-76	527	133	-98	191	1691	743	3915	486
14	11612	1924	21	0	0	0	825	1241	3358	-471	-899	-28	981	-758	-9	105	1668	-1233	4243	490
15	24192	2476	33	0	0	0	1479	762	2272	-471	-976	35	295	-175	-7	105	1418	417	5952	482
16	13004	2221	36	0	0	0	1479	926	1583	-471	-976	35	776	-175	-7	99	1418	417	4966	474
17	18554	3031	50	0	0	0	668	1241	3358	-667	-899	6	155	-758	-6	137	1691	743	6621	447
18	15597	2642	16	0	0	0	668	762	3768	-2075	-1023	454	981	-758	-10	105	2000	25	5887	415
19	22459	2877	37	0	0	0	859	850	3358	-2075	-1023	434	981	-1018	-10	65	1247	743	6220	428
20	24859	3614	30	0	0	0	1479	1241	3768	-471	-965	35	981	-480	-106	105	1418	743	8076	439
21	19751	3625	93	0	0	0	1273	2703	5554	-471	-899	35	1103	133	-7	105	1668	675	8067	428
22	27377	3605	45	0	0	0	1273	1263	4024	-471	-976	434	493	-20	-1	105	1247	743	8078	402
23	16381	3539	39	0	0	0	1479	2703	3333	579	-1283	434	912	122	-8	105	1691	714	7867	399
24	50463	4393	30	0	0	0	859	2703	2293	-471	-976	434	1103	-1018	-8	77	1418	714	10110	399
25	30015	3208	108	0	0	0	1273	2703	2555	-31	-813	38	1136	-175	-199	145	1101	743	7057	398
26	17102	3219	83	0	0	0	859	1612	4024	-471	-976	31	1103	-332	-7	105	1418	675	7077	397
27	19891	3740	26	0	0	0	859	1612	2555	-471	-1278	37	574	-332	-1	137	1691	714	8120	407
28	18949	3626	77	0	0	0	832	1612	4024	-991	-199	31	776	24	-7	105	1668	675	7861	399
29	58382	3502	38	0	0	0	1479	2320	4024	-553	-976	434	1103	-332	-8	105	1418	675	10185	394
