# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation std dev (player exponents): 0.01
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Exponential

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	Time	sd-w	sd-e
0	178	12	0	3579	1889	0	950	599	958	126	-47	-838	768	-269	-384	13	609	423	2.44	2.69	2.41	2.7	2.33	1.97	1.24	-0.311	-1.31	-0.735	1.78	0.564	2385	573	1.42
1	527	45	0	3753	1943	0	950	1081	958	126	-47	-781	768	-269	993	733	609	-702	2.32	2.69	0.473	2.7	1.4	1.37	1.24	-0.311	0.751	-0.735	1.78	1.37	7917	583	1.41
2	897	85	0	3673	1755	0	950	971	-258	451	-999	-917	610	-257	993	733	609	-63	-1.95	2.69	0.473	2.7	1.4	0.315	1.24	2.35	1.5	-1.94	1.78	1.4	15586	559	1.3
3	1216	123	0	3699	1465	0	-185	971	-771	931	442	-732	610	-211	993	733	88	-63	-1.95	2.92	2.6	2.66	2.33	2.89	1.86	2.35	1.54	-1.94	2.42	1.4	21834	511	1.21
4	8109	198	0	3766	1633	0	1703	1081	958	-901	-47	-1183	768	-688	993	733	609	423	0.408	2.69	2.63	2.7	2.33	1.37	1.24	-0.311	1.5	-0.727	1.78	1.37	27377	489	1.18
5	4781	313	0	3380	1612	0	1703	599	958	195	-47	-838	768	-113	993	733	609	9	0.408	2.69	2.63	0.75	2.33	1.97	1.24	-0.394	1.5	-0.735	1.78	1.38	44470	496	1.02
6	4049	359	0	3644	1487	0	950	1081	958	-901	-47	-617	768	-269	831	733	88	-63	-1.95	2.69	2.63	2.68	2.36	1.37	2.67	-0.311	1.5	-1.94	2.42	1.37	63606	459	0.892
7	4631	710	9	2502	1277	0	2065	315	958	-901	-47	-1183	404	-269	993	753	609	-832	0.408	2.69	2.63	2.72	-1.87	1.38	1.24	-0.303	1.49	-0.727	1.79	1.37	105858	431	0.765
8	6517	951	12	2663	1158	0	950	599	958	-901	-47	-341	768	-688	831	654	88	-63	0.408	2.69	2.63	2.7	2.32	1.37	2.67	-0.31	1.52	-1.94	1.78	1.35	157499	427	0.658
9	8466	1076	26	2835	1162	0	1703	1296	958	-901	-47	223	768	-269	831	733	609	423	0.408	2.69	2.63	2.7	2.32	1.37	2.67	-0.31	1.51	-0.724	1.78	1.37	169245	429	0.568
