# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation std dev (player exponents): 0.01
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Exponential

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	Time	sd-w	sd-e
0	496	17	0	3494	1779	0	950	599	958	126	-47	-838	768	-269	-384	13	609	423	2.44	2.69	2.41	2.7	2.33	1.97	1.24	-0.311	-1.31	-0.735	1.78	0.564	2590	573	1.42
1	1178	53	0	3657	1940	0	49	823	958	126	-47	48	768	32	921	105	27	280	2.44	2.69	2.41	2.7	-0.372	1.97	2.59	-0.311	1.6	-1.49	1.77	0.564	7654	568	1.37
2	1813	142	0	3574	1873	0	526	823	958	88	-47	-838	1250	32	873	-188	609	423	2.44	2.69	2.41	2.7	-0.372	1.96	1.24	-0.311	1.6	-1.49	1.79	0.564	23720	512	1.25
3	3369	268	0	3496	1606	0	526	599	958	437	-47	-838	768	32	873	-188	27	423	2.44	2.69	2.41	2.7	-0.372	1.96	2.59	-0.311	-1.31	-1.49	1.77	0.564	46983	443	1.07
4	8855	623	0	3663	1258	0	49	599	958	437	-30	591	768	-269	921	105	609	-531	0.702	2.69	2.42	2.7	-1.88	1.97	1.24	-0.311	1.6	-1.49	1.78	2.59	104207	377	0.827
5	6194	768	8	3476	1132	0	15	823	1492	659	-19	-838	768	-372	809	-188	609	-531	2.4	2.68	2.41	2.7	-0.372	1.56	2.57	2.06	1.6	-1.49	1.77	0.559	140347	349	0.689
6	3400	767	5	3200	1211	0	49	599	958	405	-47	591	768	-269	809	105	609	-6	0.702	2.74	2.41	2.7	-0.372	1.9	2.59	-0.311	1.6	-1.49	1.75	0.564	143710	349	0.589
7	5964	1089	19	2421	1318	0	15	490	1852	659	-47	-838	768	-568	809	105	609	-531	2.4	2.69	2.41	2.7	-0.372	1.96	2.57	-0.313	1.6	-1.49	1.77	0.559	163833	346	0.532
8	9001	1257	17	2749	1163	0	15	490	1852	659	-47	-838	1493	-568	809	105	609	-20	2.45	2.69	2.42	2.7	-0.378	1.97	2.57	2.06	1.6	-1.49	1.77	0.559	217907	313	0.464
9	8367	1329	54	2535	1136	0	753	823	958	659	-30	-838	1250	32	809	-337	511	280	0.69	2.68	2.42	1.67	-0.372	1.56	2.6	0.958	1.6	-1.49	1.77	0.558	221613	315	0.419
10	6504	1357	8	3370	1119	0	11	490	1852	126	-47	-838	658	-568	809	108	609	-44	2.25	2.69	2.42	2.7	-0.372	1.52	2.57	-0.311	1.6	-1.49	1.77	0.556	254360	307	0.372
11	7441	1549	37	2346	1299	0	-103	490	1492	126	-47	13	768	-568	809	-304	609	280	2.42	2.69	2.41	2.7	-0.379	1.96	2.57	2.04	1.6	-1.49	1.77	0.564	261646	304	0.354
12	8675	1776	14	2575	1199	0	15	899	1492	659	-5	-838	1146	32	976	77	495	-531	2.27	2.68	2.41	2.7	-0.367	1.56	2.55	0.95	1.58	-0.735	1.77	0.558	276293	293	0.331
13	11804	1849	28	2217	1203	0	85	899	1492	126	-5	-838	1146	32	976	77	495	-531	2.27	2.68	2.46	1.68	-0.367	1.56	2.55	2.04	1.58	-1.49	1.77	0.558	273537	295	0.315
14	7004	1707	39	2354	1185	0	15	899	1699	246	-5	-838	768	-568	976	77	687	280	2.27	2.77	2.41	2.7	-0.361	1.57	2.55	0.958	1.58	-1.49	1.77	0.558	284832	318	0.3
15	13139	1972	98	2162	1320	0	13	601	958	659	-36	-838	768	32	809	-337	609	62	0.69	2.68	2.47	2.68	-0.372	1.97	2.54	0.958	1.6	-1.49	1.77	0.558	261711	331	0.305
16	8456	1950	13	2461	1334	0	15	823	1492	659	-47	967	1250	-568	726	64	489	-531	0.702	2.69	2.42	2.69	-0.372	1.97	2.59	-0.311	1.6	-1.47	1.77	0.558	288922	314	0.287
17	8766	1786	7	3333	1284	0	-111	899	1492	659	-30	-1791	768	-272	1154	77	609	-640	0.69	2.69	2.47	1.64	-0.367	1.56	2.59	2.04	1.62	-1.49	1.77	-0.794	286765	318	0.279
18	8326	1818	9	3014	1193	0	82	823	1110	640	4	-838	768	32	809	105	609	-800	0.69	2.72	2.42	1.65	-0.372	1.54	2.61	0.948	1.6	-1.49	1.77	0.554	278180	326	0.275
19	8207	1774	40	2719	1208	0	79	994	1852	398	-3	139	768	32	809	105	234	227	2.39	2.61	2.43	2.7	-0.373	1.56	2.57	2.05	1.6	-1.51	1.77	0.572	287998	328	0.266
20	6984	1971	12	2874	1276	0	69	820	2177	126	-12	-966	768	11	809	-215	555	343	2.27	2.74	2.47	2.7	-0.372	1.57	2.6	2.04	1.62	-1.49	1.78	0.558	293015	324	0.263
21	7601	1831	17	2658	1251	0	79	671	2297	105	-46	-507	995	32	809	54	609	-286	2.37	2.61	2.44	1.68	-0.365	1.56	2.57	0.949	1.64	-1.48	1.77	0.559	280603	337	0.24
22	8113	1917	42	2235	1202	0	6	823	532	246	1	-853	359	-373	1137	16	609	210	1.1	2.6	2.47	2.7	-0.371	1.97	2.59	-0.311	1.6	-1.49	1.76	0.559	302295	361	0.239
23	9623	1947	45	2418	1288	0	73	616	952	659	3	139	768	-1	411	-215	314	280	2.22	2.7	2.47	2.7	-0.379	1.57	2.56	0.95	1.6	-1.49	1.77	0.554	277842	345	0.242
24	15245	1852	65	2284	1278	0	60	1324	1852	280	23	-853	1250	-438	664	12	609	-800	0.69	2.72	2.42	2.67	-0.365	1.98	2.59	0.948	1.57	-1.49	1.76	0.561	280237	339	0.25
25	9514	1788	13	2441	1360	0	73	530	958	659	-10	228	1250	-1	455	-215	432	219	2.26	2.69	2.43	2.7	-0.379	1.93	2.56	0.95	1.6	-1.51	1.76	-0.794	273981	345	0.24
26	9047	1981	73	2249	1270	0	17	569	1567	412	0	-222	1250	-816	1044	-299	609	422	0.69	2.66	2.42	2.7	-0.365	1.99	2.63	0.98	1.57	-1.48	1.75	0.553	287304	325	0.234
27	8163	1791	6	2452	1254	0	15	1324	1852	729	0	-853	1146	-24	829	4	745	-564	2.26	2.67	2.44	2.69	-0.371	1.55	2.58	-0.311	1.58	-1.48	1.78	0.559	280036	346	0.231
28	8285	2054	53	2171	1363	0	73	616	1492	209	0	139	626	-261	829	-343	555	56	2.24	2.6	2.44	2.71	-0.367	1.56	2.6	0.991	1.6	-1.49	1.75	0.568	278427	355	0.231
29	9929	2332	44	2255	1299	0	70	1324	1492	246	4	209	1250	-654	829	4	609	98	0.693	2.72	2.41	2.7	-0.378	1.55	2.59	-0.311	1.6	-1.49	1.77	0.553	291341	357	0.226
