# Population size: 128
# Games: 0
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	387	38	5	0	0	0	973	-236	-731	-260	-629	14	19	616	752	803	876	662	86	576
1	1123	108	5	0	0	0	-938	387	978	400	-718	-569	173	133	-379	724	483	-473	230	569
2	830	142	9	0	0	0	-289	710	978	-463	-831	-569	985	159	-379	709	627	743	345	535
3	1655	206	8	0	0	0	-289	633	282	-463	-603	55	19	737	-436	505	965	-565	517	518
4	1823	234	27	0	0	0	-507	576	558	400	-831	-107	296	-995	-585	283	965	-473	542	505
5	3037	316	30	0	0	0	-507	387	2377	400	-718	-972	865	-995	-585	283	965	-473	718	486
6	1462	314	23	0	0	0	-289	920	2377	400	-930	-972	865	475	-585	283	965	-526	704	483
7	4622	524	25	0	0	0	-132	990	656	579	-930	-107	985	109	-304	283	965	-129	1199	481
8	4239	747	45	0	0	0	-132	202	2377	82	-831	-107	865	-324	-585	283	965	823	1696	449
9	5437	933	21	0	0	0	-772	710	2377	400	-831	644	865	-1141	-585	283	965	-473	2030	422
10	7738	1468	24	0	0	0	-132	990	4048	502	-577	-107	985	-995	-585	283	939	-129	3438	397
11	8102	1259	21	0	0	0	-132	130	2377	400	-831	-107	454	-1141	-585	283	1163	-126	2856	380
12	6821	1269	14	0	0	0	-132	387	2377	82	-831	-107	454	-995	-585	283	1163	-712	2906	361
13	7293	1370	35	0	0	0	-291	920	3267	400	-831	-107	454	-1141	-304	283	940	-126	3003	319
14	13984	1913	17	0	0	0	-337	710	3292	82	-831	-264	454	-655	-585	283	1257	-129	4285	331
15	10878	1415	13	0	0	0	-132	885	2377	82	-831	-103	865	-372	-304	283	838	-126	3250	335
16	25625	1976	17	0	0	0	-132	1284	3267	174	-831	-157	865	-1141	-585	283	1068	-565	4365	327
17	11219	1755	20	0	0	0	-132	1284	2669	209	-831	-157	865	-380	-585	265	965	-118	4205	288
18	8232	1773	42	0	0	0	-132	1284	3382	82	-553	-107	842	-1141	-585	270	1097	684	3830	301
19	7889	1629	63	0	0	0	-132	576	5326	19	-831	-116	865	-1141	-325	283	965	1001	3616	306
20	8696	1806	90	0	0	0	-132	1055	2377	92	-831	-103	680	-655	-325	283	1068	-565	4024	331
21	10939	2048	77	0	0	0	-132	2210	2377	174	-831	-103	1082	-655	-260	283	1068	-118	4393	342
22	10452	2022	25	0	0	0	-132	1284	3418	199	-1120	644	540	-995	-538	283	1068	-712	4506	337
23	15288	2232	32	0	0	0	-59	2210	3541	19	-559	-107	540	-1141	-585	283	2738	684	4846	359
24	10172	2013	32	0	0	0	-132	1194	2377	174	-831	-47	985	-1141	-304	219	965	763	4480	353
25	9157	1757	30	0	0	0	-59	453	2739	223	-559	-69	540	-1141	-585	208	1027	684	3900	374
26	7289	1604	42	0	0	0	-113	1194	4576	174	-718	-116	985	-995	-498	333	965	-565	3555	382
27	13236	2038	49	0	0	0	229	2080	2377	304	-718	-69	985	-1011	-703	219	1933	-565	4420	379
28	13916	1749	13	0	0	0	512	1194	3938	304	-831	-107	985	-163	-498	219	1068	-52	3884	392
29	14614	2265	19	0	0	0	512	1194	3938	92	-831	-107	985	-995	-759	283	1068	-52	5005	389
