# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: One-point
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	393	44	4	3753	2645	0	-964	952	694	596	-899	41	247	-758	808	58	959	-422	3240	576
1	2528	144	5	3663	1926	0	668	925	694	596	-899	41	-349	-758	464	26	999	-22	9954	551
2	1879	177	5	3450	1670	0	668	925	416	734	-899	41	675	-758	464	26	1019	-787	14166	530
3	1564	240	8	3391	1304	0	668	925	845	880	-899	-569	675	-758	464	12	1019	-787	20976	505
4	3933	394	7	3028	1447	0	34	952	555	-471	-899	41	296	-758	739	105	999	-22	27483	475
5	6860	613	19	2738	1334	0	722	925	978	-153	-662	68	870	-995	993	12	994	-937	41300	422
6	3920	804	20	2810	1267	0	722	925	978	-471	-865	-569	870	-758	739	12	994	-937	61557	383
7	7645	1051	11	2963	1170	0	668	925	416	-556	-1028	41	119	-943	285	26	999	-787	74655	350
8	9626	1275	49	2360	1107	0	173	952	845	1020	-662	41	296	-705	489	26	590	-38	90089	311
9	7971	1503	38	2418	1123	0	173	970	845	-153	-662	41	51	-1238	489	21	999	-38	100952	300
10	8490	1685	81	2334	1244	0	702	925	978	-556	-851	-190	862	-943	262	26	999	-16	108762	296
11	12999	1728	64	2322	1278	0	668	925	979	1037	-1028	-190	866	-1615	71	26	463	-12	109021	299
12	19850	1675	73	2244	1155	0	668	925	1153	-153	-662	-310	675	-758	55	26	844	-37	114774	295
13	7090	1942	19	2230	1160	0	493	1687	845	-153	-418	-215	1013	-758	739	26	1019	-38	130267	276
14	15143	1866	53	2357	1084	0	668	925	1153	-153	-634	41	866	-444	71	12	463	-38	131624	294
15	14087	2138	48	2361	1298	0	1143	952	1153	-556	-1028	-183	675	-758	299	26	844	-37	134344	320
16	11385	1994	11	3012	1181	0	668	1505	607	-556	-662	41	734	-1403	299	11	999	-38	137293	325
17	11851	2463	19	2398	1257	0	1056	1687	1172	861	-662	41	734	-1403	256	26	1019	-473	158141	319
18	16268	2088	53	2318	1110	0	668	1687	1172	-153	-662	41	866	-932	372	11	1019	-473	164030	336
19	14668	2215	65	2187	1133	0	668	952	898	-81	-482	41	417	-80	206	26	844	-464	155304	350
20	10321	2446	51	2242	1131	0	1595	1159	2341	-556	-418	-58	1013	-932	71	26	1019	-22	172504	327
21	15971	2671	77	2418	1107	0	668	1149	1077	-81	-809	-69	296	-992	299	26	1043	-37	180375	326
22	12893	2736	78	2210	1319	0	1595	952	3162	-153	-662	-58	1013	-1403	71	38	1274	-22	172781	333
23	9925	2392	61	2267	1096	0	1504	1525	1558	-81	-1028	44	770	-758	256	38	1281	-39	168644	342
24	9385	2540	54	2631	1104	0	568	1772	607	-297	-899	-317	953	-758	187	26	1019	-473	187443	328
25	16757	2607	58	2276	1172	0	668	1687	3162	-1772	-677	-152	776	-1089	74	26	1027	-44	184383	347
26	11670	2619	60	2391	1149	0	67	1687	3162	-1772	-225	-43	570	-1403	71	26	1027	-44	193295	356
27	11147	2387	55	2409	1117	0	818	1687	3162	-156	-638	-7	875	-1167	74	26	1248	-473	185167	367
28	21810	2753	38	2238	957	0	1249	1505	3162	-153	-677	-152	1115	-886	167	9	1248	-22	216576	360
29	19723	3128	77	2311	1129	0	866	1445	1238	-556	-662	-58	718	-886	402	11	999	-44	228432	362
