# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	637	46	4	3700	2686	0	129	762	845	-556	-662	-933	776	877	-7	545	-45	-910	3236	576
1	1488	151	6	3437	1765	0	799	762	845	579	-497	-336	985	877	-7	503	627	743	10678	543
2	3023	250	13	2842	1391	0	129	808	694	579	522	-336	247	-175	808	58	662	-422	17813	500
3	2720	309	5	3000	1417	0	129	1230	694	-185	-199	895	454	-995	808	-45	999	743	21246	456
4	3909	418	11	2686	1459	0	799	762	488	-475	-497	-661	776	-914	-220	58	662	-422	24186	442
5	6775	507	9	3633	1368	0	668	762	488	-475	-497	-661	776	-914	-220	58	662	-305	31217	451
6	12082	808	32	2598	1349	0	668	762	581	-475	-497	-336	776	-1653	-365	58	590	-305	39044	430
7	5836	1108	17	3412	1230	0	49	1046	778	-475	4	42	697	187	263	58	640	-273	76366	374
8	11277	1201	16	2590	926	0	194	1230	1228	-185	-199	-533	1431	-550	-158	71	515	82	99323	356
9	11777	1799	24	2838	1090	0	668	2388	1228	-238	-199	14	840	-914	-8	58	483	-305	123559	323
10	10973	2160	16	2484	1136	0	668	709	1228	-475	4	-470	776	77	-18	58	569	-305	154030	315
11	12673	2057	28	2219	1187	0	836	762	1000	-475	-497	7	776	187	-352	58	300	-273	140608	331
12	10230	2483	61	2318	1223	0	827	1046	1228	-251	-229	23	454	77	-8	71	640	-910	159414	295
13	21915	2618	50	2439	1018	0	668	1377	1228	-475	-497	-219	974	-672	-158	58	425	-910	178116	317
14	18634	2595	41	2358	1080	0	668	1416	881	-185	-201	-335	776	77	-8	58	662	-155	189658	289
15	11635	2766	80	2285	1100	0	157	1377	1228	-475	-217	-219	776	-672	-155	58	696	-929	200027	295
16	9121	2536	42	2361	1200	0	324	762	1433	-244	-199	-470	776	187	-158	58	524	-273	188030	295
17	14285	2808	23	2135	1115	0	168	1377	964	-198	-217	-219	776	-672	-18	72	514	-929	173768	313
18	15210	3053	28	2357	1146	0	324	1230	1000	-174	4	-220	776	77	-175	98	696	-910	186769	302
19	16108	3402	36	2169	995	0	297	1416	1273	-466	2	-661	1299	-124	-9	30	696	-305	217405	276
20	16279	3579	139	2470	1193	0	297	1663	1508	-466	-199	-661	1299	-124	-9	55	696	-305	230356	255
21	18652	3507	43	2263	1143	0	228	1124	1033	-212	-194	-207	776	-994	-9	30	354	-305	227877	230
22	21481	3951	26	2191	1094	0	228	1230	1433	-475	4	-286	776	35	-18	58	696	-107	248832	230
23	17817	3452	124	2255	1098	0	4	1416	1000	-212	4	-153	776	-672	-158	30	354	-305	237436	224
24	17437	3837	38	2433	1195	0	105	1133	1228	-126	-341	-661	1299	172	-9	85	696	26	251025	223
25	22549	3837	78	2389	1235	0	344	1124	1433	-475	-354	-207	776	187	-25	58	524	-305	247986	206
26	21443	3653	179	2339	1123	0	1035	1663	981	-1200	-219	-207	776	187	-20	30	438	52	243809	220
27	35643	4229	114	2297	1173	0	643	1133	1433	-391	-199	-336	839	189	-9	30	696	-273	265202	209
28	19117	3877	22	3198	1195	0	344	1230	177	-185	-199	-207	776	172	-21	56	348	26	267473	198
29	24503	3945	81	2324	1173	0	0	1663	981	-338	-170	-207	889	-106	-20	82	524	-305	250085	187
