# Population size: 128
# Games: 0
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	253	35	5	0	0	0	403	-828	733	-682	-474	-410	-622	613	761	842	437	730	114	576
1	1325	113	5	0	0	0	-554	576	737	32	697	55	-468	-680	-8	60	689	-750	248	561
2	1376	156	9	0	0	0	-507	710	117	-2311	101	29	303	-369	447	562	578	25	351	541
3	1613	232	8	0	0	0	-938	599	1650	400	52	55	368	-680	102	60	609	-750	524	526
4	2987	336	6	0	0	0	-938	599	1650	309	30	55	368	-680	447	60	733	-88	821	499
5	2402	340	8	0	0	0	45	952	737	-82	117	-614	808	-815	447	58	627	-541	770	459
6	5880	611	31	0	0	0	45	952	1650	-61	24	41	808	-815	-10	60	627	-541	1398	429
7	7064	957	13	0	0	0	-659	1004	737	309	461	120	-2	240	-8	58	627	-786	2289	372
8	18468	1355	37	0	0	0	45	952	1650	-116	52	55	350	-815	-4	60	627	-541	3134	371
9	10856	1641	51	0	0	0	548	952	2196	-670	101	104	368	-436	-8	77	544	-102	3515	324
10	14728	2106	49	0	0	0	45	952	2196	-73	18	41	350	-279	-8	60	627	-905	4630	317
11	22123	2384	51	0	0	0	-132	952	2718	-82	52	433	175	-815	-4	58	959	859	6004	299
12	15623	2820	52	0	0	0	-61	952	1650	-82	-537	105	808	-680	-12	58	627	859	6377	307
13	18722	3268	27	0	0	0	26	1360	1650	189	18	7	543	232	-11	60	627	-905	7571	286
14	25780	2738	52	0	0	0	45	1360	1650	-670	164	55	350	-472	-7	15	872	-546	6197	285
15	20315	3376	15	0	0	0	26	1730	2196	189	63	105	1041	-264	447	58	627	-905	7480	287
16	19574	3087	34	0	0	0	-132	1730	2196	189	63	111	1041	-279	-11	58	627	-905	6829	290
17	23441	2928	22	0	0	0	-61	1554	3362	-93	11	123	808	-789	-8	58	627	-541	6573	293
18	19030	3262	35	0	0	0	-61	1360	3362	-93	8	66	828	-680	-11	60	627	-541	7057	281
19	14681	3228	73	0	0	0	-90	1681	1436	-93	164	123	808	-185	-4	60	826	-905	7061	275
20	23366	3293	33	0	0	0	26	1554	2196	189	6	73	605	-264	-4	60	872	-541	7816	244
21	23363	3898	38	0	0	0	72	2516	1650	-82	8	123	791	-789	-11	38	1165	-133	8460	246
22	20176	3474	42	0	0	0	-96	1155	2318	-77	48	66	347	-248	-4	56	872	-208	7568	239
23	27701	4198	39	0	0	0	38	1823	1436	3	48	123	523	218	-8	63	595	-208	8993	239
24	22104	3977	56	0	0	0	-124	1823	1436	-82	18	48	791	-138	-6	90	562	-1262	9368	238
25	17349	3290	24	0	0	0	-268	1823	3362	-98	18	48	791	-789	-5	81	965	-786	7182	241
26	23895	3324	52	0	0	0	-96	1823	1389	-106	63	123	605	218	-9	58	595	-208	7970	256
27	13936	3193	75	0	0	0	14	2717	1846	-77	9	111	1001	218	-2	58	872	-786	6960	242
28	37236	3963	29	0	0	0	23	1766	2318	-135	9	48	904	218	-4	63	833	-428	8912	250
29	24012	3538	50	0	0	0	-229	1571	1599	-5	15	96	561	-138	-6	58	617	-786	7862	261
