# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation std dev (player exponents): 0.01
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Exponential

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	Time	sd-w	sd-e
0	217	12	0	3633	1910	0	966	812	-130	695	998	-735	-953	-176	-851	947	896	-401	2.76	1.14	1.57	0.202	-1.87	1.53	2.64	2.08	-0.119	2.49	-1.23	2.83	2432	573	1.42
1	736	36	0	3738	2032	0	-132	599	958	126	-47	895	454	-269	993	13	609	423	2.32	2.69	0.473	1.54	2.33	1.97	1.24	-0.311	0.755	1.97	-1.25	0.564	6129	581	1.41
2	916	110	0	3633	1977	0	950	599	958	524	-47	-838	768	-176	-851	13	609	423	2.44	2.69	2.4	2.7	-1.87	1.97	1.24	2.08	-1.3	-0.741	1.89	-0.81	15544	542	1.21
3	1669	141	0	3633	1524	0	950	1110	958	524	-47	-838	768	-995	-851	13	590	423	2.32	2.69	2.4	2.7	-1.87	1.96	-0.325	2.08	0.751	-0.741	1.89	-0.81	23618	507	1.11
4	1133	188	0	3457	1425	0	914	1110	1850	-295	-47	-540	768	77	-384	13	900	423	2.73	2.99	0.473	2.69	-1.87	1.07	1.24	-0.325	-1.3	1.96	1.78	0.564	36791	490	1.03
5	2033	236	5	3399	1462	0	-132	599	516	524	62	1537	1423	-270	993	13	609	423	2.32	2.69	1.4	1.54	2.33	1.97	1.24	2.08	0.761	1.72	1.89	-0.81	39209	476	0.919
6	2197	318	9	3719	1538	0	950	599	958	524	-47	895	-953	-278	-384	15	609	-401	2.44	2.69	2.38	0.202	2.33	1.46	1.27	-0.325	0.755	1.97	1.89	-0.372	47025	494	0.854
7	1841	354	5	3294	1422	0	914	599	1850	524	-47	-838	920	-270	-327	13	896	423	2.3	2.69	2.4	1.17	2.33	1.96	1.24	2.08	0.761	1.96	1.78	-0.81	57379	506	0.745
8	2049	353	7	3498	1317	0	-132	1085	1703	524	-71	2277	920	-270	-851	14	609	423	2.3	2.71	2.44	1.52	2.33	1.96	1.24	2.11	0.775	1.98	1.89	-0.81	64124	516	0.695
9	2278	461	7	3236	1380	0	208	1469	958	118	113	3254	667	885	993	13	884	423	2.33	2.96	2.38	2.7	2.26	1.97	2.64	-0.311	0.753	1.72	1.95	0.565	73614	516	0.617
