# Population size: 128
# Games: 0
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	283	37	5	0	0	0	668	925	-781	-185	522	42	-349	-175	464	519	999	-22	93	576
1	789	121	4	0	0	0	453	387	-100	132	-718	-447	-271	-709	-557	709	422	-565	282	572
2	1133	185	7	0	0	0	50	387	558	734	-767	639	637	-709	878	283	965	-787	425	547
3	2058	265	11	0	0	0	729	925	694	-556	-899	41	1342	-175	-614	322	999	-473	644	531
4	2505	285	11	0	0	0	45	952	1042	400	-662	514	247	133	761	259	482	-461	622	517
5	1487	310	17	0	0	0	453	1379	978	800	52	-336	1194	-153	293	105	830	743	720	511
6	2142	357	30	0	0	0	453	1379	1115	29	52	-336	1194	-153	293	105	493	836	776	521
7	3234	475	17	0	0	0	-986	1518	1421	-205	-662	-28	637	-709	-178	298	965	-461	1086	507
8	6435	540	10	0	0	0	-938	1379	845	-789	52	-378	597	-709	288	105	830	739	1315	482
9	7227	866	54	0	0	0	-945	1518	954	-277	-662	-427	247	-709	-324	259	1269	-461	2020	437
10	19012	1250	19	0	0	0	453	2266	1115	-576	-767	747	274	-709	-324	105	999	-356	3022	393
11	14560	1533	34	0	0	0	453	2266	1115	-576	-767	747	274	-709	-324	105	1006	-356	3483	402
12	10781	1424	25	0	0	0	453	906	1557	-462	-767	-28	247	-1666	-233	105	1269	290	3093	408
13	23815	1741	21	0	0	0	453	2585	1115	-462	-767	747	247	-709	-111	105	1269	-739	4071	420
14	14388	2054	28	0	0	0	453	2585	1115	-462	-767	747	247	-709	-111	105	1040	-739	4885	392
15	11721	2190	16	0	0	0	785	2266	1115	29	-767	516	637	-758	-324	105	1269	-759	4705	378
16	15554	2357	17	0	0	0	785	2266	1115	-462	-767	747	124	-1719	-324	105	1269	739	5339	374
17	21154	2382	24	0	0	0	-765	2585	1285	-462	76	747	247	-709	-233	105	788	-461	5111	351
18	14166	2339	11	0	0	0	728	2266	1115	-48	-781	747	245	-709	-401	105	944	-641	5249	341
19	19966	3213	90	0	0	0	453	4009	1604	-462	-767	747	247	-709	-111	107	2131	-356	7594	318
20	14178	2436	76	0	0	0	-219	2266	1421	-462	-781	747	247	-772	43	105	953	-739	5764	314
21	23540	3152	44	0	0	0	453	2266	1285	-48	-930	747	247	-709	43	81	788	-461	7047	304
22	16631	2962	62	0	0	0	728	2977	1285	-850	-781	747	500	-516	-324	127	1269	-167	6402	313
23	22817	3193	38	0	0	0	542	2585	1437	-462	-781	747	247	-640	-156	105	1183	-739	6912	334
24	27964	3293	44	0	0	0	728	1773	1917	-462	-753	744	955	-709	-110	105	834	-739	7092	311
25	19476	2847	30	0	0	0	838	2585	1604	-450	-433	747	247	-1075	-97	81	1722	-448	6480	310
26	16157	3089	95	0	0	0	838	2585	1604	-450	-767	744	238	-640	43	107	1183	-641	6846	318
27	25343	2640	55	0	0	0	635	2493	2613	-450	-781	747	1094	-758	43	99	1156	-363	5841	331
28	16452	2946	48	0	0	0	1230	2493	1917	-588	-767	850	380	-516	-110	57	1183	-739	6693	346
29	25165	3459	31	0	0	0	237	2280	2613	-462	-981	1034	1094	-758	43	105	834	-363	7981	349
