# Population size: 128
# Games: 0
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	295	35	4	0	0	0	453	-117	-100	132	-930	-447	-271	481	-557	709	422	-565	106	576
1	881	120	5	0	0	0	49	952	694	596	461	48	865	77	808	105	959	-422	262	560
2	2336	173	7	0	0	0	912	387	103	132	-718	48	-468	-709	58	105	830	592	409	563
3	1870	240	11	0	0	0	705	576	699	-260	-629	-668	898	-709	58	105	830	592	542	530
4	2435	304	12	0	0	0	705	436	699	-294	-662	-668	675	-787	-98	72	273	662	765	494
5	3390	369	9	0	0	0	799	576	733	557	-629	-441	985	-251	-98	72	830	362	843	447
6	6565	509	7	0	0	0	799	576	733	-294	-629	-441	985	-251	-98	72	754	362	1202	424
7	8872	803	7	0	0	0	705	952	699	-173	-718	-459	865	225	-98	72	712	292	1859	388
8	8021	940	39	0	0	0	705	931	699	-173	-718	-459	865	225	-51	80	509	292	2079	364
9	7658	1148	21	0	0	0	453	808	699	-173	-629	-459	675	225	-56	80	712	508	2550	351
10	9660	1672	28	0	0	0	799	576	1423	-166	-718	-248	776	-316	-98	72	830	292	3797	332
11	11388	1750	37	0	0	0	799	576	664	-260	-718	-459	865	193	-51	80	546	1171	3822	312
12	14740	2064	38	0	0	0	721	1111	1817	-173	-407	693	865	339	-98	72	305	114	4481	317
13	17274	2056	51	0	0	0	912	576	699	364	-730	-269	865	325	-98	90	509	1114	4485	326
14	18813	2566	46	0	0	0	912	576	699	-132	-718	-441	776	277	-98	72	546	1171	5864	342
15	17528	1998	19	0	0	0	1197	576	1423	-156	-718	-441	865	277	-98	72	712	1171	5017	336
16	15435	2242	44	0	0	0	705	576	1817	-132	-649	33	776	-426	-98	47	357	743	4829	328
17	14612	2896	16	0	0	0	776	1538	678	-132	-718	-441	776	-316	-58	101	830	78	6407	318
18	21894	2751	51	0	0	0	912	502	771	-173	-736	-459	758	-316	-83	61	712	194	6168	315
19	29725	3034	62	0	0	0	1090	576	1817	-118	-718	33	776	-316	-51	26	712	129	7493	352
20	25006	3649	47	0	0	0	799	502	2075	-191	-353	-459	871	-533	-139	33	712	743	7873	284
21	24605	3285	56	0	0	0	1028	576	2075	268	-718	-77	865	-551	-98	72	712	743	7400	283
22	22175	3258	61	0	0	0	1290	576	2135	-287	-730	33	977	-67	-43	72	712	66	7029	271
23	21509	3426	52	0	0	0	1124	1538	1893	-260	-831	5	1038	69	-58	72	425	743	7403	283
24	22892	2817	57	0	0	0	1090	576	1590	-260	-736	-177	776	-316	-51	62	712	129	6593	295
25	16595	2977	23	0	0	0	1124	1538	2075	922	-831	33	1105	-551	-123	72	712	743	6534	322
26	23181	3293	95	0	0	0	1090	1041	2075	-92	-718	33	1105	-551	-123	62	712	316	7145	304
27	15757	3012	39	0	0	0	904	1913	2075	-287	-718	33	1105	-551	-98	62	665	316	6764	281
28	29482	3644	25	0	0	0	1197	1913	881	-450	-873	-288	1105	-426	-67	37	595	48	8119	288
29	23533	3586	39	0	0	0	1124	1041	1590	-260	-718	-177	1105	-551	-67	18	712	316	7677	302
