# Population size: 128
# Games: 0
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	880	41	5	0	0	0	799	808	-481	579	-831	-336	985	-814	401	555	627	743	139	576
1	2438	159	4	0	0	0	799	808	996	-173	-831	747	985	-814	524	72	627	392	444	549
2	2784	217	9	0	0	0	181	834	996	579	-831	-336	586	711	401	130	662	743	530	518
3	1743	274	9	0	0	0	799	319	996	579	-831	-336	1570	711	401	130	662	392	631	466
4	3225	376	35	0	0	0	-185	808	1838	579	-873	-336	865	-814	401	237	985	703	924	473
5	5193	570	40	0	0	0	799	808	1838	579	-508	-336	865	711	263	130	985	703	1309	468
6	6867	682	40	0	0	0	634	808	996	579	-831	-360	898	-1083	401	130	1032	-212	1556	448
7	6375	787	33	0	0	0	754	1070	978	579	-873	-361	865	-251	263	105	662	284	1841	418
8	6334	1113	23	0	0	0	754	1290	996	1153	-930	74	865	-576	212	72	1141	277	2611	363
9	9535	1122	56	0	0	0	634	751	978	-947	-873	-360	865	-489	646	37	1032	284	2609	343
10	8438	1357	49	0	0	0	799	776	2139	-173	-700	-755	898	-1016	263	135	1206	278	2990	336
11	7118	1539	38	0	0	0	634	808	1487	-173	-831	-360	898	76	263	105	662	277	3567	352
12	18727	1513	15	0	0	0	648	1290	978	579	-831	-28	865	-489	401	37	662	876	3593	351
13	8583	1699	61	0	0	0	181	1290	946	1153	-383	-606	898	-576	195	130	1032	284	3714	347
14	14761	1812	52	0	0	0	439	823	2466	579	-383	48	665	-576	401	105	647	284	3956	355
15	9911	1867	23	0	0	0	439	776	4879	579	-831	-26	665	-1016	401	130	1334	284	4135	382
16	16194	2146	15	0	0	0	1131	1070	2987	-173	-1523	74	865	-251	263	72	802	491	5048	405
17	29100	2504	30	0	0	0	1131	1070	2139	-173	-1523	74	791	-251	191	105	802	908	6467	398
18	10308	1930	34	0	0	0	799	823	2466	593	-831	-755	1570	-522	264	72	1334	-231	4414	389
19	17557	2552	54	0	0	0	754	1070	2440	-320	-831	-219	985	-164	401	14	662	491	5783	404
20	14489	2258	73	0	0	0	623	1290	978	1153	-677	-161	913	-251	195	105	974	-221	5137	412
21	9387	2221	45	0	0	0	1520	1290	4879	-173	-850	-26	791	-758	210	72	1946	140	5020	405
22	11669	2050	56	0	0	0	1520	1290	1745	-126	-831	104	937	-576	106	32	662	728	4941	406
23	19298	2341	69	0	0	0	696	586	2987	681	-731	-669	985	-230	401	72	1465	454	5252	423
24	12173	2713	33	0	0	0	1131	908	6154	-173	-676	104	765	-251	195	105	1383	-231	5880	434
25	19836	2387	38	0	0	0	1520	1070	4879	364	-974	-26	985	-482	117	63	2050	-212	5330	442
26	15085	2680	50	0	0	0	1520	1290	3759	681	-365	104	985	-482	117	87	2050	454	6058	437
27	20840	2928	66	0	0	0	799	1290	4318	-288	-619	-351	1300	-293	401	55	1263	358	6532	427
28	17094	2657	33	0	0	0	512	823	7774	364	-796	-26	985	-225	553	63	2050	-212	5718	418
29	26614	3389	55	0	0	0	2608	2374	4879	-320	-831	104	1018	-247	485	74	2028	-212	7424	440
