# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation std dev (player exponents): 0.01
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Exponential

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	Time	sd-w	sd-e
0	427	14	0	3589	1848	0	950	599	958	126	-47	-838	768	-269	-384	13	609	423	2.44	2.69	2.41	2.7	2.33	1.97	1.24	-0.311	-1.31	-0.735	1.78	0.564	2534	573	1.42
1	908	46	0	3723	2232	0	571	962	958	126	12	-107	768	-787	-585	11	609	423	2.44	2.69	2.41	2.7	2.33	1.97	1.24	-0.311	-1.31	-0.735	-1.85	2.63	6201	564	1.37
2	1507	91	0	3753	1965	0	49	599	1168	126	-47	48	768	77	921	105	609	280	0.702	2.69	2.41	1.67	-0.372	1.97	2.59	-0.311	1.6	-1.49	1.78	0.564	14995	530	1.26
3	2944	255	0	3693	1482	0	49	599	1168	126	-47	-372	768	77	921	971	609	423	0.702	2.69	2.41	1.69	2.35	0.871	2.59	-0.311	1.6	-1.49	1.78	0.564	44210	458	1.12
4	7538	640	6	3547	1469	0	571	962	699	-479	-47	48	497	312	921	105	425	907	0.702	2.69	2.41	1.17	2.33	1.97	2.59	1.2	1.6	-1.49	1.79	0.564	94308	386	0.975
5	6977	699	8	3486	1130	0	49	827	1168	-320	-47	-372	768	77	921	105	314	1951	0.702	2.66	2.39	1.67	2.35	0.871	2.59	-0.311	1.6	-1.45	1.78	0.564	139558	323	0.778
6	4205	1038	6	2948	1276	0	49	962	1168	90	-47	48	454	-787	921	902	425	423	0.702	2.69	2.41	1.69	2.35	1.96	2.59	-0.311	1.6	-1.5	1.78	0.565	173037	318	0.63
7	5732	1287	44	2552	1159	0	729	962	721	126	-26	48	667	77	941	1947	609	525	0.702	2.69	2.41	1.15	-0.376	1.97	2.62	-0.311	1.6	-1.49	1.79	0.564	213805	296	0.526
8	4755	1070	46	2292	1093	0	729	962	1168	126	-47	-160	768	77	921	105	609	525	0.703	2.65	2.41	1.15	2.35	1.97	2.59	-0.311	1.6	-1.49	1.79	0.564	208953	288	0.512
9	7533	1372	86	2230	1177	0	49	823	958	90	-47	29	601	-176	921	251	609	412	0.702	2.69	2.41	2.7	-1.88	1.99	2.59	-0.311	1.62	-1.5	1.78	0.565	236414	302	0.39
10	11147	1637	7	3366	1302	0	49	599	721	93	-47	23	511	77	921	10	609	85	2.44	2.65	2.41	1.67	-1.88	1.97	2.6	-0.311	1.6	-1.49	1.78	0.575	242104	293	0.387
11	7400	1604	36	2478	1097	0	729	599	1574	126	-30	48	586	-176	921	952	738	85	0.71	2.69	2.41	1.7	2.38	1.95	2.59	-0.311	1.61	-1.49	1.79	0.564	232180	295	0.395
12	7743	1588	17	2935	1297	0	571	706	1168	161	-47	-157	511	77	921	10	609	1951	2.42	2.69	2.41	2.67	2.32	1.89	2.59	1.2	1.6	-0.75	1.78	0.575	222237	292	0.374
13	7685	1489	7	3415	1170	0	46	962	1078	126	-75	48	601	-176	978	408	609	85	0.71	2.72	2.41	2.7	-0.372	1.97	2.59	-0.311	1.57	-0.735	1.74	0.563	226066	297	0.402
14	7037	1564	68	2269	1214	0	49	593	958	83	-47	-372	985	-144	921	1252	425	525	2.45	2.69	2.39	2.7	2.33	1.98	2.59	-0.309	1.59	-0.735	1.8	0.577	244776	271	0.411
15	13342	1583	36	2384	1173	0	571	1349	1078	56	3	48	768	87	1446	8	738	280	0.702	2.69	2.39	2.7	2.34	1.96	2.59	-0.311	1.62	-1.5	1.86	0.564	239873	297	0.399
16	6425	1405	71	2233	1154	0	516	1072	1078	70	-47	48	127	106	921	1947	609	280	0.705	2.69	2.4	2.68	2.29	1.97	2.59	-0.311	1.57	-1.49	1.78	2.75	234509	292	0.382
17	6929	1510	7	3581	1261	0	571	599	1168	204	-75	48	768	-176	333	853	425	280	0.702	2.69	2.39	2.69	-1.88	1.97	2.59	-0.31	1.62	-1.5	1.78	0.561	226706	298	0.38
18	13373	1500	9	2859	1253	0	1172	1064	1168	204	-75	48	1027	-176	333	853	425	303	0.702	2.69	2.39	2.7	-1.88	1.98	2.58	-0.308	1.6	-1.47	1.78	0.564	226958	292	0.371
19	7765	1562	16	2474	1284	0	571	706	1078	56	-30	48	1027	-176	921	8	609	456	0.702	2.69	2.39	2.67	2.31	1.94	2.55	1.18	1.6	-1.51	1.86	0.564	225183	291	0.391
20	8068	1524	17	2190	1196	0	84	917	385	85	-51	48	845	115	561	952	418	85	2.46	2.69	2.38	2.68	2.29	1.97	2.59	-0.312	1.62	-1.49	1.83	2.75	234284	292	0.373
21	7013	1575	10	2441	1306	0	396	1072	1078	70	-17	48	184	76	1067	1205	609	525	0.71	2.69	2.39	2.69	2.34	1.97	2.59	1.18	1.62	-1.49	1.8	0.564	227675	302	0.364
22	5606	1436	98	2426	1265	0	612	718	1078	1300	-47	3	767	76	1069	11	487	303	0.702	2.66	2.41	1.67	-1.88	1.91	2.62	-0.304	1.6	-1.48	1.88	0.564	227451	294	0.382
23	8918	1737	84	2556	1351	0	571	955	1872	178	-30	46	768	87	1020	1205	738	178	0.709	2.69	2.34	2.7	2.31	1.96	2.59	-0.31	1.6	-1.48	1.86	0.574	234422	304	0.377
24	8692	1620	46	2473	1360	0	12	1064	802	111	-31	18	1027	116	1020	1566	425	280	2.46	2.68	2.39	2.7	2.35	1.96	2.59	1.19	1.64	-1.5	1.78	0.577	232862	312	0.368
25	5035	1574	6	2474	1415	0	420	1612	958	204	-32	-168	768	87	921	1947	263	920	0.705	2.68	2.39	1.67	-0.374	1.97	2.58	-0.308	1.6	-1.51	1.8	0.56	222847	302	0.365
26	9177	1720	84	2353	1273	0	571	1077	1078	108	-74	62	1027	76	1020	-277	918	526	0.702	2.63	2.39	1.66	-0.379	1.94	2.59	-0.303	1.6	-1.43	1.74	0.561	247424	318	0.364
27	5302	1847	6	3342	1579	0	98	593	1078	-479	-17	57	1506	115	1005	1947	609	525	0.702	2.66	2.38	2.8	2.32	0.879	2.62	-0.305	1.57	-1.5	1.74	0.574	259861	327	0.369
28	6339	1604	54	2237	1368	0	571	1284	1335	-479	-74	48	847	100	921	1503	918	280	0.718	2.7	2.39	2.7	2.31	1.95	2.59	1.17	1.62	-0.739	1.8	2.72	276024	323	0.376
29	6962	1565	44	2553	1322	0	140	1616	1078	53	1	48	1237	-120	1006	1205	487	383	0.713	2.67	2.39	2.67	-0.374	1.93	2.6	-0.308	1.61	-0.731	1.82	0.564	287683	328	0.346
