# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	758	41	5	3814	2722	0	-938	710	978	400	52	-569	173	133	-379	724	483	592	3307	576
1	869	127	5	3554	1792	0	-938	710	733	-1041	52	-569	173	133	761	842	437	592	9988	550
2	1637	227	8	3256	1519	0	912	599	958	-203	-474	-838	768	613	-384	256	609	706	14466	505
3	1373	307	14	2840	1644	0	-480	599	958	912	522	-685	768	-814	-384	256	483	-22	17594	496
4	2203	360	15	2698	1567	0	-946	710	958	912	52	-569	173	-806	39	256	689	-750	20625	500
5	1927	406	30	2608	1500	0	78	951	401	-1041	52	-685	768	-758	-394	256	483	-22	25079	486
6	2894	488	13	2439	1433	0	814	925	837	734	-365	-569	173	-758	39	256	999	392	27810	497
7	2710	483	35	2539	1275	0	-554	925	2280	415	103	-355	357	-83	-200	256	999	706	35468	477
8	5152	653	51	2416	1330	0	-554	1430	1271	-180	-629	1063	145	-21	-379	256	876	-766	41873	447
9	5606	871	86	2326	1451	0	-938	925	2280	373	30	-355	768	-48	-200	256	830	-565	46463	436
10	9737	1137	50	2455	1379	0	799	1395	1494	-501	-365	61	822	-439	-379	123	782	-766	62866	419
11	10330	1032	16	3117	1263	0	-268	1085	1494	283	-629	-97	768	-439	-379	256	830	-958	67864	417
12	11931	1330	60	2369	1359	0	799	2195	1494	-501	-662	59	1135	-758	4	65	782	-85	79375	408
13	8800	1458	22	2487	1111	0	1503	862	1494	373	-636	18	357	-21	-379	155	999	-659	95022	398
14	11480	1745	48	2257	1172	0	-628	1718	1494	-55	-474	-547	1135	-439	4	195	876	-85	104031	405
15	12170	1572	17	2835	1281	0	148	1085	1494	-385	-629	-247	768	-130	4	123	999	-766	97870	389
16	10418	1689	13	2337	1218	0	148	1085	1494	-385	-629	-247	1135	-130	2	155	999	-766	109269	391
17	9864	1621	62	2294	1008	0	-137	1430	1494	-471	-365	-657	768	-709	-379	195	1094	-766	127634	383
18	13166	2018	17	2699	1174	0	-628	2192	2338	373	1	895	768	-995	16	81	876	845	128459	392
19	10651	2277	37	2679	1227	0	-618	1718	1035	283	-406	-355	1509	-439	4	169	206	-766	135720	388
20	8297	2071	110	2356	1118	0	-237	2422	1202	373	1	18	768	-159	5	81	876	-766	150121	392
21	14584	2624	110	2352	1191	0	-237	2422	714	373	1	7	768	-118	5	81	876	-766	165974	382
22	15112	2957	131	2189	1181	0	-268	2049	2201	283	52	13	768	-869	4	101	782	-249	183163	378
23	9951	2700	103	2451	1168	0	65	1881	1849	283	0	-355	1135	-439	32	93	1790	131	184004	378
24	17610	2759	36	2133	1226	0	799	1289	3199	-10	-459	46	768	-310	4	122	841	821	181001	380
25	15874	3148	40	2252	1228	0	83	2049	1348	373	0	7	650	-869	8	71	999	592	188261	382
26	15971	2766	79	2288	1186	0	-137	2543	2773	-819	52	-97	1057	-159	4	101	1507	-476	186989	375
27	16580	3142	130	2356	1244	0	131	1929	1220	-15	-444	29	1135	-273	4	117	999	-766	201732	360
28	15384	3259	157	2306	1126	0	148	2584	1254	456	37	-355	1135	-238	4	69	999	594	219235	364
29	24214	3404	34	2386	1026	0	148	2773	2773	-15	52	7	1135	-334	16	122	1258	-85	224765	380
