# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation std dev (player exponents): 0.01
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Exponential

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	Time	sd-w	sd-e
0	250	13	0	3549	1866	0	49	823	103	437	461	48	865	77	921	105	27	280	0.702	1.19	-1.34	1.67	-0.372	0.284	2.59	0.958	1.6	-1.49	1.77	1.89	2765	573	1.42
1	1033	35	0	3686	2080	0	950	599	958	126	-90	-838	768	-269	-242	13	440	561	1.78	2.69	-1.2	0.96	2.17	1.97	2.09	-0.306	-1.2	-0.735	1.8	2.94	6345	570	1.39
2	353	51	0	3515	1919	0	805	599	-162	360	461	-303	768	-591	921	105	1012	-531	2.44	1.14	1.57	1.67	-1.87	1.97	2.64	2.08	1.6	-0.735	1.77	2.83	9782	535	1.28
3	1558	104	0	3616	1797	0	583	971	958	524	-336	-1538	768	-269	-242	936	440	-153	2.44	1.17	2.41	2.01	-0.55	1.97	2.09	2.42	-0.673	-0.727	1.8	-1.12	14167	499	1.21
4	1051	122	0	3361	1630	0	607	599	-130	164	-24	-838	768	-713	-242	13	440	-401	2.39	2.69	1.86	2.67	2.17	1.97	2.09	1.4	-1.2	-0.735	-1.24	2.83	22468	479	1.13
5	2229	233	6	3588	1621	0	966	962	-258	126	-90	561	793	399	313	13	314	561	0.702	2.69	2.41	1.63	1.03	1.99	2.09	-0.306	-0.32	1.72	1.77	-0.81	32538	467	1.04
6	2969	303	7	3515	1675	0	966	962	255	164	-90	-838	793	399	-242	13	314	561	0.702	2.69	1.86	1.64	1.03	1.97	2.09	-0.306	-0.32	1.72	1.77	-0.81	49455	450	0.946
7	4945	443	7	3594	1649	0	805	971	958	164	-26	-735	793	399	-428	13	314	-202	0.702	1.19	2.41	1.36	2.13	1.97	2.09	-0.309	-1.19	1.72	1.77	2.83	58663	409	0.864
8	3573	502	10	3347	1550	0	950	971	778	616	-26	-735	768	399	-851	13	314	-320	0.702	1.19	2.36	1.36	2.13	1.97	2.09	-0.309	-1.19	1.75	1.77	2.83	72722	376	0.764
9	4738	552	20	2863	1360	0	165	1678	958	164	-24	-105	768	-546	313	7	480	561	2.41	2.67	2.41	0.96	-0.55	1.97	2.09	1.36	-0.118	1.72	1.8	-0.805	94421	353	0.707
10	3403	731	6	3080	1449	0	165	962	958	31	-24	-105	1640	399	313	7	480	561	2.44	2.69	2.41	1.36	-0.55	1.97	2.09	1.36	-0.118	1.72	1.8	-0.79	112717	340	0.685
11	9356	963	27	2412	1315	0	154	962	778	126	-24	-735	768	399	-851	13	314	910	2.46	2.74	1.51	2.01	1.03	1.97	2.64	-0.308	-1.08	1.75	1.8	-1.11	146243	336	0.656
12	5072	965	78	2384	1254	0	154	812	958	126	-41	-735	768	-601	-851	13	307	645	2.46	2.74	2.41	2.01	-0.55	1.95	2.09	-0.308	-1.08	1.75	1.77	-1.13	161384	321	0.605
13	5661	1012	7	3448	1233	0	165	962	434	126	-58	1736	768	-306	306	17	207	-71	0.7	2.69	2.38	1.36	-0.55	1.99	2.09	-0.308	-0.325	1.73	1.77	-0.806	167033	320	0.581
14	6076	1036	55	2471	1174	0	206	962	830	80	-100	561	1548	549	-851	7	314	561	0.705	2.69	1.86	1.64	-0.553	1.94	2.13	1.36	-0.32	1.75	1.74	0.588	178253	329	0.542
15	10008	1279	42	2239	1204	0	950	1395	778	923	85	-105	793	-257	-242	15	480	-8	0.701	2.67	1.51	1.67	1.37	1.96	2.09	-0.301	-0.32	1.75	1.79	1.38	209456	319	0.478
16	7070	1387	24	2303	1288	0	188	962	1085	23	-71	1736	1640	-546	306	3	188	561	2.46	2.71	1.51	2.01	1.36	1.96	2.6	-0.308	-0.316	1.73	1.77	-0.802	212085	319	0.445
17	5438	1101	6	3080	1212	0	154	962	989	164	-58	-56	1103	404	567	10	263	1029	2.46	2.67	1.86	1.36	-0.55	1.96	2.09	-0.308	-0.325	1.73	1.81	-0.802	200309	345	0.404
18	11461	1348	5	2421	1107	0	154	962	1085	120	-16	1511	793	399	-302	4	86	-320	2.46	2.74	2.42	2.01	1.03	1.96	2.6	-0.308	-1.22	1.72	1.76	-0.822	224377	328	0.384
19	7122	1284	18	2307	1191	0	154	962	989	120	85	1511	793	399	-302	4	86	1029	2.46	2.67	1.86	2.01	1.03	1.96	2.09	-0.308	-0.32	1.72	1.76	-0.822	226982	331	0.363
20	5949	1535	10	3161	1245	0	833	962	1585	88	-17	-15	1640	-546	-336	10	263	693	0.715	2.67	2.4	1.65	1.01	1.96	2.08	-0.308	-0.325	1.72	1.76	-0.802	236439	346	0.352
