# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: One-point
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	530	43	4	3753	2693	0	-938	710	978	400	52	-569	173	133	-379	724	483	592	3196	576
1	1544	149	4	3452	1986	0	604	387	953	-471	-718	-533	952	-709	666	685	830	-639	10209	581
2	1480	232	8	3172	1595	0	912	-380	694	-471	-718	-373	247	-316	666	685	712	25	15337	534
3	1728	242	11	3473	1361	0	604	621	694	-471	-970	-373	266	-857	694	685	830	25	18402	510
4	3506	316	17	2928	1547	0	-707	952	953	-417	-381	-638	952	112	-252	280	959	-639	20937	495
5	1681	379	12	2531	1397	0	-54	762	978	400	-238	-344	952	877	666	139	581	-851	26776	451
6	13233	658	14	2554	1363	0	604	991	996	-174	-381	48	296	-248	-6	60	494	-473	41956	435
7	9678	724	22	2651	1101	0	1054	952	728	437	-718	463	247	-638	-252	60	959	592	58466	416
8	10083	1238	24	2556	1147	0	129	952	953	-81	-381	82	529	-1112	-6	60	494	-473	92325	372
9	14736	1458	11	2122	889	0	500	925	2139	-99	-381	48	173	-248	-6	72	756	-473	118891	343
10	11900	2060	36	2657	969	0	604	1155	996	437	-381	374	263	-1112	-132	56	494	-473	157711	325
11	22217	2936	19	2426	1003	0	604	710	1541	-177	-718	732	247	-489	-252	60	417	592	196118	312
12	28715	3100	34	2241	877	0	635	710	996	15	-718	732	247	-342	-252	60	417	-329	197165	304
13	23228	3135	31	2250	889	0	604	1155	996	300	-493	732	247	-787	-252	60	417	-929	203868	286
14	27130	2645	34	2373	1039	0	604	1155	996	-126	-718	463	405	-248	-97	60	637	836	195317	287
15	32679	3351	29	2640	1090	0	604	925	1541	-126	-718	463	405	-248	-97	60	698	-473	225750	285
16	25042	3415	35	2690	934	0	604	1155	1541	-174	-718	732	124	-638	-6	60	687	-473	224815	305
17	16069	3597	122	2412	1040	0	604	925	1804	-1434	-718	1041	405	-248	-252	60	451	-523	239517	294
18	27570	4231	14	2293	1002	0	604	1826	2213	-174	-169	732	537	-248	-252	60	698	592	258228	298
19	30773	4393	34	2207	990	0	500	925	996	23	-469	463	537	-489	-97	60	417	-329	265526	277
20	21055	3250	54	2184	900	0	604	1826	1039	-174	-668	463	537	-638	-6	60	687	-123	254752	275
21	23047	3899	67	2210	945	0	500	925	2139	-459	-404	455	247	-248	-6	32	698	-600	264953	286
22	31028	4491	168	2257	1093	0	855	925	1804	-983	-469	667	537	-222	-62	32	417	-473	281304	273
23	32331	4111	68	2265	969	0	604	866	2676	-459	-469	825	389	-746	-90	38	449	-901	283804	269
24	45663	4788	39	2687	1112	0	542	1155	1541	-983	-469	463	236	-201	-1	38	639	836	291431	275
25	35687	4132	74	2400	981	0	761	1826	1541	-983	-469	732	537	-746	-62	38	687	549	299557	290
26	21728	5132	69	2276	993	0	604	1135	1804	-84	-77	110	537	-489	-62	28	730	-901	311767	291
27	43609	4878	63	2283	951	0	651	1155	2139	-983	-718	463	295	-1028	-35	48	730	-335	323393	272
28	28865	5496	76	2227	1150	0	153	1155	3162	-177	-469	1001	426	-930	-62	60	511	-901	305695	284
29	21283	4674	93	2132	960	0	542	1135	2139	-983	-77	904	236	-275	-62	28	687	-600	299038	297
