# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation std dev (player exponents): 0.01
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Exponential

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	Time	sd-w	sd-e
0	207	12	0	3663	1714	0	950	599	958	126	-47	-838	768	-269	-384	13	609	423	2.44	2.69	2.41	2.7	2.33	1.97	1.24	-0.311	-1.31	-0.735	1.78	0.564	2578	573	1.42
1	894	40	0	3586	2116	0	966	812	958	126	-47	-838	-953	-269	-384	13	896	423	2.44	2.69	1.57	0.202	-1.87	1.53	1.26	-0.311	-1.31	-0.735	1.78	0.576	7074	590	1.38
2	1270	77	0	3660	2007	0	485	812	995	126	-47	281	768	-269	865	13	896	423	2.44	2.69	1.18	2.7	-1.87	1.97	1.24	-0.311	1.66	-1.84	1.78	0.576	12703	567	1.34
3	1838	135	0	3549	1727	0	485	881	995	91	294	-141	768	-269	865	8	609	-573	2.44	2.69	2.41	2.7	2.33	1.98	1.24	-0.311	1.66	-1.84	1.78	1.24	25170	553	1.21
4	1617	189	0	3623	1659	0	485	881	995	451	-47	-141	768	510	865	1171	590	423	2.44	2.69	1.18	2.7	2.33	1.98	0.148	0.538	1.66	-1.84	1.83	0.568	34901	509	1.05
5	3166	276	8	3332	1554	0	157	881	-755	-640	-47	281	720	-269	865	875	896	150	2.44	2.69	1.18	2.74	2.33	1.53	1.24	-0.314	1.66	-1.82	1.78	0.564	50791	486	0.952
6	2715	374	10	3623	1438	0	485	629	544	126	685	375	768	-269	865	19	896	-573	2.44	2.69	2.41	2.7	-1.87	1.51	1.25	-0.311	1.65	1.72	1.78	1.24	66436	469	0.831
7	3105	558	17	2964	1256	0	157	812	-755	126	-47	281	1069	-142	865	1219	996	-85	2.44	2.69	1.18	2.7	-1.87	1.98	1.23	-0.314	1.66	-1.86	1.78	0.576	94030	408	0.671
8	4512	610	22	2533	1070	0	22	881	544	126	-45	375	768	-363	865	19	412	-573	2.5	2.69	2.41	2.7	-1.91	1.51	2.34	-0.311	1.65	-0.728	1.78	0.559	116100	384	0.611
9	3735	661	26	2482	1217	0	485	1155	1180	-321	-1	-462	-1764	-202	865	408	890	150	2.44	2.69	2.41	2.72	1.02	1.53	1.25	-0.219	1.66	-0.735	1.78	1.21	119158	386	0.561
