# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation std dev (player exponents): 0.01
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Exponential

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	Time	sd-w	sd-e
0	319	14	0	3598	1837	0	950	599	958	126	-47	-838	768	-269	-384	13	609	423	2.44	2.69	2.41	2.7	2.33	1.97	1.24	-0.311	-1.31	-0.735	1.78	0.564	2448	573	1.42
1	719	33	0	3683	1893	0	874	420	958	168	-47	-838	768	510	739	13	609	525	2.46	2.69	2.41	1.19	2.33	1.97	1.24	-0.311	-1.31	-0.735	1.83	0.568	5788	562	1.39
2	1850	84	0	3678	1834	0	874	420	958	119	-47	-838	768	-600	739	13	609	423	2.17	2.69	2.41	0.0384	1.8	1.97	1.24	-0.311	-1.31	-0.735	1.83	0.564	9982	558	1.31
3	804	84	0	3554	1695	0	874	420	958	63	-117	317	768	567	809	13	609	423	2.17	2.69	2.41	0.687	2.33	1.97	0.25	-0.311	-1.31	-0.735	1.83	0.0745	14693	549	1.25
4	804	143	0	3515	1619	0	950	812	958	224	621	-1259	768	-523	313	970	609	-1136	-1.3	2.69	2.41	0.0384	-1.87	1.07	2.41	2.08	0.739	-0.735	1.89	0.568	24133	497	1.13
5	3627	168	0	3673	1529	0	874	420	958	7	-47	544	768	-636	739	13	609	423	2.17	2.69	2.41	0.0384	2.34	1.07	2.64	-0.311	-1.31	-0.735	1.83	0.118	26525	476	1.13
6	3480	264	8	3607	1646	0	874	420	958	-50	-47	-716	768	-636	739	871	704	561	2.17	2.69	2.41	0.0384	2.33	1.08	1.26	-0.311	-1.31	-0.735	1.82	0.564	37299	443	1.09
7	1490	317	12	3409	1452	0	874	420	958	-50	-47	544	768	-636	739	871	704	423	2.17	2.69	2.41	0.0384	2.34	1.08	2.64	-0.311	-1.31	-0.735	1.83	0.118	51556	422	1.01
8	3021	385	10	2661	1426	0	1118	823	958	7	-47	544	768	544	739	871	609	525	2.14	2.69	2.41	0.0384	2.34	1.08	2.64	-0.314	-1.31	-0.733	1.83	0.118	67950	392	0.872
9	3929	476	21	2461	1258	0	874	420	958	168	-217	544	768	-636	739	13	609	561	2.16	2.69	2.41	0.202	2.3	1.97	2.61	2.1	-1.31	-0.744	1.83	0.564	76998	377	0.702
10	5078	478	5	2656	1074	0	874	823	958	7	-47	582	768	-282	1156	3	609	333	2.17	2.69	2.44	0.0384	2.34	1.05	2.65	2.09	-1.31	-0.735	1.82	0.564	86641	357	0.615
11	3060	600	41	2261	1240	0	874	1124	958	7	-196	-103	768	544	739	871	515	-1133	2.17	2.67	2.41	0.0384	2.34	1.09	2.6	-1.73	-1.42	-0.735	1.83	0.118	106980	336	0.514
12	5698	695	8	3131	1254	0	457	1436	958	168	-37	864	600	-636	739	871	609	-1133	2.16	2.69	2.47	0.0381	2.34	1.1	2.67	0.958	-1.32	-0.735	1.83	0.118	112166	349	0.486
13	4664	691	11	2594	1104	0	874	1359	958	7	-29	544	768	544	739	871	665	423	2.17	2.69	2.41	0.0384	2.34	1.08	2.65	-0.311	-1.31	-0.735	1.81	0.568	123012	355	0.43
14	6096	993	20	2379	1337	0	661	823	958	-64	-47	817	768	544	706	10	609	151	2.17	2.67	2.44	0.0383	2.34	1.97	2.64	-0.311	-1.31	-0.746	1.48	0.568	140403	336	0.386
