# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation std dev (player exponents): 0.01
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Exponential

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	Time	sd-w	sd-e
0	291	12	0	3515	1862	0	950	599	958	126	-47	-838	768	-269	-384	13	609	423	2.44	2.69	2.41	2.7	2.33	1.97	1.24	-0.311	-1.31	-0.735	1.78	0.564	2446	573	1.42
1	503	36	0	3693	2162	0	950	952	694	596	-47	-838	247	-758	808	58	609	-422	2.44	2.69	-1.44	2.7	2.33	0.374	1.24	-0.311	-0.00576	-0.172	1.64	0.564	5349	560	1.37
2	861	82	0	3616	1658	0	-132	952	720	40	-47	895	247	-758	808	13	609	-702	2.44	2.69	2.41	2.7	1.4	0.374	1.24	-0.311	-0.00576	1.97	1.64	0.564	15589	533	1.19
3	1224	133	0	3386	1478	0	950	599	371	-650	-999	-838	257	-758	-384	964	609	-841	2.1	2.65	0.691	2.7	-0.163	2.1	2.96	-0.597	-1.31	-0.735	1.64	2.36	24637	496	1.09
4	1116	205	0	3753	1556	0	-178	599	720	126	-199	62	768	-758	-452	13	590	280	2.35	2.69	0.473	2.7	2.33	1.37	1.23	-0.597	-0.00576	1.97	1.63	0.564	36849	479	0.99
5	1749	263	0	3266	1510	0	-132	952	579	202	343	1301	247	-758	808	964	609	-852	2.1	2.7	2.39	1.54	2.33	0.374	2.96	2.08	-1.31	-0.734	1.64	0.564	43585	463	0.901
6	2399	335	8	3242	1388	0	294	599	371	202	-83	1344	768	758	-215	4	609	-702	2.32	2.69	0.473	1.53	-1.87	1.97	0.832	-0.306	-0.00576	1.97	1.62	1.89	55488	471	0.835
7	2489	361	12	2814	1210	0	294	2047	9	202	-199	1344	500	758	558	13	570	-414	2.32	2.69	2.37	1.53	1.4	1.97	1.24	-0.311	-0.00579	1.97	1.64	1.89	62079	447	0.785
8	2624	446	14	2376	1258	0	-132	2047	720	1523	-197	580	500	-758	-412	14	590	314	2.32	2.69	2.37	1.53	1.4	1.99	1.24	-0.311	-0.00576	1.97	1.79	1.89	74273	458	0.723
9	4290	427	14	2834	1145	0	-58	2047	720	202	161	2001	500	-553	-412	14	590	314	2.32	2.69	2.37	1.53	-0.163	1.97	1.23	-0.311	-0.00579	1.97	1.79	1.38	75778	466	0.687
10	3230	506	7	3333	1155	0	294	2060	756	-652	-47	1344	429	-758	558	6	612	-407	2.32	2.68	2.39	1.55	2.33	1.97	1.24	2.08	0.754	1.97	1.65	1.89	88251	463	0.687
11	3499	693	15	2663	1193	0	86	599	756	-652	-47	1301	429	-758	558	6	570	-702	2.32	2.72	2.41	1.55	2.35	1.97	1.24	2.08	0.754	1.97	1.65	1.89	110120	424	0.685
12	3255	641	17	2441	1102	0	-58	2047	756	126	-47	1241	247	-553	-389	13	990	280	2.3	2.67	2.41	1.52	2.33	1.39	0.839	-0.316	0.744	1.97	1.64	-1.45	118298	403	0.661
13	4351	839	8	3299	1234	0	294	952	720	202	-47	1381	257	-368	-412	6	590	59	2.1	2.69	2.41	1.98	1.4	1.93	1.24	0.537	-0.00576	1.99	1.64	1.89	134719	411	0.649
