# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation std dev (player exponents): 0.01
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Exponential

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	Time	sd-w	sd-e
0	130	11	0	3532	1833	0	-132	-294	713	309	-199	895	454	-995	993	733	590	-702	2.32	-0.735	0.473	1.54	1.4	1.37	-0.325	-0.597	0.751	1.97	-1.25	1.38	2207	573	1.42
1	276	29	0	3515	2205	0	950	599	958	-20	-47	-838	768	-856	-384	-98	852	423	2.44	2.69	2.41	2.7	2.33	1.97	1.24	-0.394	-1.3	-0.735	0.924	1.84	4541	591	1.38
2	500	68	0	3544	2059	0	950	599	958	451	-336	-838	947	-176	873	13	314	-167	2.76	2.69	1.57	2.7	-1.87	0.315	2.64	1.2	-1.31	2.23	0.733	2.15	9754	598	1.29
3	926	100	0	3599	1772	0	570	599	487	126	715	-540	610	-70	-20	947	1069	-85	2.44	2.69	2.3	1.89	1.19	0.255	2.64	1.2	-1.31	-1.64	-1.91	2.83	16592	577	1.22
4	597	128	0	3448	1569	0	570	599	958	-318	-133	895	768	-269	-20	13	-609	-702	2.32	2.69	1.57	1.89	2.33	1.97	2.64	1.2	-1.89	-0.735	-1.91	0.564	23251	557	1.15
5	969	146	6	3504	1561	0	-595	640	487	126	891	-540	720	-176	-20	947	1069	-30	1.13	2.71	2.3	2.7	1.19	0.255	2.64	-0.594	-1.31	-1.6	0.703	2.82	25180	538	1.05
6	2233	229	10	3037	1611	0	-595	640	592	451	891	157	720	-176	-231	947	1069	-30	1.13	2.71	2.3	1.89	1.19	0.255	2.64	-0.593	-1.31	-1.6	0.703	2.82	36582	504	1.02
7	980	195	8	3558	1498	0	950	599	592	126	891	-838	720	-176	-383	947	1409	-75	1.13	2.69	2.3	1.89	-1.87	0.255	2.64	-0.311	-1.31	-1.61	0.703	2.82	40365	462	0.983
8	1527	320	9	3483	1479	0	570	640	442	-318	-336	-838	768	-176	-20	947	-623	4	2.49	2.7	1.57	1.89	0.583	1.97	2.64	1.2	-1.31	-1.64	-1.91	2.83	54638	464	0.899
9	2386	359	17	2660	1227	0	747	1068	913	451	-133	-157	1305	-182	-383	947	452	-30	2.25	2.69	2.26	1.88	-1.87	0.255	2.64	-0.593	-1.31	-1.61	1.78	2.82	67853	443	0.818
10	3774	485	6	3323	1247	0	100	1068	699	-1541	-336	-157	768	-107	-383	947	452	4	2.25	2.69	2.3	1.88	0.583	0.535	2.64	-0.593	-1.31	-1.61	1.78	2.86	74283	462	0.744
11	2050	567	25	2405	1239	0	570	640	930	451	862	-157	1328	-277	-384	21	280	169	2.44	2.69	2.26	0.522	-1.87	1.97	2.64	0.137	-1.31	-0.72	-1.22	2.78	98617	451	0.661
12	4664	596	10	2546	1165	0	111	599	299	-318	-385	370	768	-157	-20	12	590	169	2.44	2.69	1.56	1.89	1.2	0.255	2.64	0.136	-1.08	-1.64	-1.91	2.85	101609	420	0.623
13	5181	661	7	3268	1153	0	375	734	713	-318	3151	-157	768	229	-34	13	1551	-805	2.44	2.69	2.26	1.89	-1.88	0.255	2.7	-0.594	-1.31	-1.6	0.709	2.93	104534	435	0.582
14	3297	646	17	3120	1114	0	111	324	774	451	-385	-15	537	-389	-13	10	195	1	2.44	2.7	2.3	1.9	0.586	0.253	2.64	-0.305	-1.89	-1.6	1.78	2.85	118193	453	0.563
15	4089	762	20	3150	1053	0	527	1154	487	-318	3151	-157	947	-269	-34	13	403	-864	2.44	2.7	2.3	1.89	-1.87	0.535	2.63	-0.316	-1.31	-1.67	0.7	2.82	131153	435	0.555
16	4074	755	24	2360	1020	0	47	282	118	-1541	-133	-124	577	337	-468	947	1551	-98	2.23	2.69	1.57	1.88	0.594	0.252	2.64	-0.318	-1.86	-1.64	0.701	0.564	139145	435	0.542
17	6977	782	6	3210	1121	0	111	282	913	-1541	891	-124	577	-117	-415	7	280	-98	2.23	2.69	1.56	1.88	0.594	0.249	2.62	-0.318	-1.86	-1.6	0.704	0.564	136689	440	0.522
18	5335	956	6	2623	1287	0	58	689	1049	-2303	-336	248	947	-333	-151	7	161	-990	2.47	2.69	2.25	1.9	0.592	1.97	2.64	-0.315	-1.31	-1.6	0.703	2.83	143734	412	0.507
19	3971	842	31	2246	1027	0	111	726	118	-1541	-167	-15	577	159	-415	21	1455	1	2.25	2.69	2.27	1.88	-1.87	0.249	2.64	-0.318	-1.31	-0.727	0.7	0.568	154518	409	0.498
20	6513	1048	5	2743	1185	0	375	749	913	451	891	-157	949	229	-78	947	278	1	2.25	2.74	2.3	2.16	-1.89	1.39	2.58	-0.305	-0.117	-1.64	0.703	2.92	162985	403	0.494
21	4491	912	6	2251	1028	0	111	726	783	-418	-385	-69	714	-269	-4	31	2623	-145	2.25	2.7	2.3	1.86	0.604	1.97	2.64	-0.594	-1.31	-0.727	0.7	2.97	165928	414	0.472
22	5810	973	72	2214	1065	0	111	466	783	-418	-242	195	676	-277	-18	7	314	-95	2.27	2.7	2.3	1.86	0.598	0.529	2.73	-0.309	-1.31	-1.6	0.7	2.83	176230	426	0.484
23	8146	1139	9	3554	1052	0	375	906	1049	-1455	891	-69	1027	-269	-415	947	280	-145	2.47	2.7	2.3	1.86	-1.88	1.97	2.65	-0.318	-1.28	-1.62	0.7	2.96	179684	416	0.458
24	6822	1217	84	2269	1188	0	375	726	118	-86	891	-207	676	229	-4	25	1455	1	2.23	2.7	2.28	1.9	0.585	1.38	2.64	-0.315	-1.9	-1.6	0.704	2.82	193079	437	0.445
25	7268	1091	19	2431	1052	0	161	472	1049	-3721	-134	248	691	181	-383	21	2817	1	2.25	2.68	2.25	1.86	0.604	0.249	2.66	-0.591	-1.3	-1.65	0.705	2.83	191149	414	0.426
26	5513	1134	61	2377	1165	0	160	472	1135	-3721	-126	248	691	181	-78	21	2817	1	2.22	2.69	2.31	1.9	0.604	0.249	2.66	-0.301	-1.32	-1.65	0.69	2.83	188527	434	0.418
27	5760	1239	6	3228	1135	0	375	491	934	-403	891	-64	691	229	-84	-2	2623	1	2.22	2.7	2.28	1.9	-1.87	1.99	2.64	1.2	-1.9	-1.67	0.701	2.92	202341	444	0.414
28	13655	1428	8	3693	1179	0	181	648	815	-418	-24	283	1016	-203	-233	19	280	-1401	2.49	2.7	2.25	1.87	0.598	1.95	2.38	-0.323	-0.113	-1.61	0.703	2.93	201718	445	0.414
29	5088	1269	69	2300	1287	0	160	523	934	-403	891	-15	691	-203	-78	16	403	1	2.26	2.7	2.28	1.86	-1.87	1.99	2.66	1.2	-1.88	-1.67	0.712	2.91	209688	431	0.423
