# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: One-point
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	508	37	5	3708	2614	0	799	808	-481	579	-831	-336	985	-814	401	555	627	743	3168	576
1	1145	126	5	3532	1871	0	799	808	694	596	-899	-336	985	-814	401	58	959	743	9826	576
2	4281	269	5	3450	1577	0	799	808	694	579	-899	-336	985	-814	401	58	627	743	18195	558
3	15024	513	7	3271	1330	0	799	808	912	248	-899	-326	985	-455	401	58	1059	743	33912	512
4	7339	865	12	3210	1073	0	799	808	694	596	-899	-326	985	-455	401	58	1059	743	67630	403
5	7910	1174	29	2467	1014	0	784	1145	694	121	-899	-336	432	-316	401	58	959	581	93985	306
6	6651	1449	53	2274	1023	0	934	808	694	248	-899	348	299	-872	401	58	1059	-40	103532	303
7	13149	1739	46	2421	1062	0	799	1835	694	132	-899	41	333	-814	530	58	959	2	110714	305
8	14414	1876	53	2178	1066	0	799	1145	694	-2651	-899	241	366	-936	223	58	959	1462	118181	318
9	13448	1831	88	2386	1006	0	799	1835	694	596	-899	34	432	-814	401	58	959	743	115215	305
10	12542	1686	101	2226	954	0	799	1145	912	69	-976	-150	299	-758	401	58	959	743	121254	294
11	13886	2441	51	2124	1171	0	840	1282	1777	596	-418	241	432	-316	290	58	1076	-21	126008	304
12	11705	2117	134	2409	1203	0	779	1249	694	161	-758	148	333	-758	401	58	959	822	132239	310
13	8043	2158	48	2537	1151	0	784	1145	694	113	-899	-150	432	-758	290	58	999	516	135589	312
14	8557	2015	49	2155	1096	0	340	1117	912	203	-757	576	59	-758	223	58	833	-21	136683	308
15	10948	2252	61	2164	1100	0	340	1117	1777	69	-899	576	59	-758	337	63	833	2	138598	284
16	11814	2155	19	2803	1038	0	340	1117	1777	69	-899	556	59	-872	304	58	833	743	146822	286
17	12107	2596	40	2582	1249	0	799	1117	694	113	-899	576	59	-316	56	58	959	814	158996	290
18	8147	2743	45	2426	1262	0	1475	1835	1777	132	-899	514	788	-719	337	63	833	1048	155592	299
19	11910	2675	84	2168	1170	0	834	1835	1165	596	-757	576	671	-454	173	58	1059	0	157431	297
20	10456	2682	35	2444	1226	0	754	1219	1693	446	-757	160	299	-872	247	49	1344	516	165237	306
21	18412	2904	28	2301	1186	0	964	2096	694	41	-757	576	671	-316	111	58	1059	0	167398	319
22	15037	2856	133	2223	1080	0	754	1835	1777	306	-899	160	788	-872	438	49	1076	2	190670	320
23	13076	2910	89	2394	1124	0	799	3095	339	71	-757	348	671	-316	566	46	1198	2	194962	304
24	13083	3501	22	2747	1210	0	834	1835	1152	203	-899	592	333	-316	252	63	781	2	214799	296
25	19788	3752	129	2263	1268	0	326	1835	2454	57	-791	686	333	-779	421	49	1076	2	217246	301
26	13458	3403	195	2492	1238	0	408	3181	1152	446	-899	576	328	-925	252	58	1122	-21	197615	306
27	12114	3656	82	2220	1305	0	326	1835	2428	211	-791	592	809	-118	502	58	1583	516	201182	308
28	16849	3827	152	2294	1241	0	678	1835	1777	203	-757	592	788	-872	150	49	959	3	211397	309
29	34046	3990	98	2305	1267	0	1626	2268	1693	41	-899	708	739	-794	300	33	1198	3	225903	301
