# Population size: 128
# Games: 0
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	461	42	4	0	0	0	453	-117	-100	132	-930	-447	-271	481	-557	709	422	-565	102	576
1	914	113	4	0	0	0	453	221	-100	132	-930	779	-271	481	-557	958	422	-565	248	564
2	1827	205	8	0	0	0	-946	952	978	400	52	26	952	-758	808	58	830	-910	471	539
3	1353	233	12	0	0	0	-938	710	978	400	52	870	952	77	-892	724	590	-473	517	529
4	1337	270	14	0	0	0	49	378	978	132	52	-563	865	481	-758	724	613	859	629	509
5	952	217	13	0	0	0	49	799	103	171	-767	-569	952	-25	-758	724	768	282	473	498
6	1189	313	25	0	0	0	49	823	-89	506	-767	-569	952	-25	-758	724	768	-409	679	492
7	1614	285	12	0	0	0	-938	544	713	-556	-718	820	298	77	-892	519	733	-486	635	491
8	1333	281	12	0	0	0	950	1444	110	400	-767	870	173	-269	-758	595	830	-565	620	495
9	1743	334	13	0	0	0	950	599	985	317	-718	26	256	77	-795	373	768	730	782	489
10	3368	397	34	0	0	0	-917	599	985	317	-47	26	256	-749	-795	312	660	730	939	498
11	2860	443	15	0	0	0	-444	1444	733	756	-718	55	952	-25	-892	724	1331	-409	991	528
12	5032	558	16	0	0	0	617	1444	985	201	-412	26	-55	83	-327	373	768	730	1250	533
13	4250	658	11	0	0	0	-1097	1534	985	148	202	639	89	-206	-427	312	1000	-409	1551	515
14	3166	621	14	0	0	0	1683	1444	1935	-20	-718	26	911	-749	-795	373	737	-394	1428	509
15	5773	748	12	0	0	0	909	2052	-89	317	-1041	-165	658	77	-372	312	968	-486	1701	490
16	5670	822	31	0	0	0	245	710	3204	374	-718	-528	911	77	-795	373	860	280	1990	514
17	10696	1001	24	0	0	0	950	925	2505	883	-718	-277	993	-883	337	67	1000	29	2458	519
18	8986	1091	14	0	0	0	0	1223	1912	50	-292	26	952	-377	-384	175	768	672	2522	534
19	11612	1464	36	0	0	0	950	1743	3204	883	-1041	1028	658	-761	-665	202	1084	29	3240	510
20	7449	1695	20	0	0	0	950	1534	2744	50	-692	639	911	-1116	-422	75	1229	-286	3724	444
21	12749	2137	31	0	0	0	0	1223	1912	50	-292	-307	911	-624	-294	175	942	282	4637	411
22	12964	2230	57	0	0	0	231	1410	2800	49	-863	570	658	77	-884	312	1160	282	4923	392
23	14405	2442	52	0	0	0	909	1534	1912	242	-863	311	444	-761	-427	149	1084	282	5314	397
24	22936	2273	32	0	0	0	200	3247	1773	50	-863	639	911	-138	-372	175	963	680	5521	398
25	16824	2653	43	0	0	0	950	1534	1912	66	-863	570	444	-138	-427	175	535	1311	6023	404
26	22384	2755	51	0	0	0	950	2837	2772	257	-863	639	993	-138	-357	175	1440	680	6431	415
27	16778	2962	38	0	0	0	1700	2837	3784	257	-863	1341	1981	-138	-372	149	963	-686	6663	438
28	15520	2711	21	0	0	0	909	2052	2219	50	-784	425	1116	-491	-427	192	860	680	5990	433
29	14331	2456	25	0	0	0	909	3247	1491	50	-863	519	911	-138	-384	175	745	1592	5306	428
