# Population size: 128
# Games: 0
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	337	38	5	0	0	0	799	808	-481	579	-831	-336	985	-814	401	555	627	743	84	576
1	1769	125	4	0	0	0	-917	202	-121	-471	-718	-533	327	-709	-324	315	965	-787	354	553
2	1005	166	5	0	0	0	-917	576	-187	32	697	55	-967	-248	-98	562	1402	-750	372	549
3	996	187	5	0	0	0	668	834	-121	34	-662	-533	327	-709	-881	315	999	-910	426	517
4	1801	239	9	0	0	0	-938	1350	-108	1808	-899	55	150	508	670	740	1650	973	524	508
5	2849	330	10	0	0	0	-289	952	558	32	177	202	678	104	-324	315	1180	861	836	486
6	1354	349	22	0	0	0	-507	920	-121	-857	4	202	338	-709	-269	315	999	-787	810	488
7	1839	414	13	0	0	0	-917	1247	925	-514	7	202	170	-983	-703	435	999	-212	914	474
8	2617	448	43	0	0	0	-938	778	1203	-416	177	202	327	-861	-473	159	965	-750	1014	463
9	3258	473	37	0	0	0	-880	918	558	24	-723	-503	918	-316	-156	315	1180	269	1108	453
10	2284	525	15	0	0	0	-507	1698	544	359	-405	622	605	-663	-881	315	483	-910	1172	462
11	3578	607	13	0	0	0	-474	778	1279	-445	-474	-569	327	-345	-542	315	490	-910	1327	457
12	7211	660	17	0	0	0	668	778	1203	-447	-657	202	327	-504	-473	159	300	-1364	1813	442
13	4720	852	9	0	0	0	668	965	1203	-471	-657	202	327	-504	-445	159	953	-1364	1869	435
14	5345	785	29	0	0	0	-898	1216	1203	-471	-405	55	605	-417	-881	315	486	-1364	1769	403
15	3461	635	20	0	0	0	668	1698	1442	-447	-403	497	619	-345	-881	160	658	-1364	1520	394
16	5786	956	13	0	0	0	668	925	694	-485	-346	94	454	-511	-172	159	352	269	2231	401
17	7658	1067	33	0	0	0	-507	1247	1203	-471	4	-410	605	-810	-542	141	352	570	2405	420
18	7325	902	18	0	0	0	-917	1698	2185	-447	108	119	327	-1668	-136	125	953	570	2207	412
19	12378	1217	26	0	0	0	-507	1487	1772	-291	4	352	624	-810	-542	125	483	570	3104	422
20	12678	1644	28	0	0	0	436	1451	1442	-106	-405	440	327	-810	-473	125	830	-1364	3571	404
21	12616	1752	79	0	0	0	-152	1455	1442	-447	-403	202	621	-203	-136	160	658	-1364	3982	379
22	10690	2024	71	0	0	0	-507	1698	1203	-481	-366	202	359	-160	-542	159	1180	-1364	4540	360
23	12813	2619	41	0	0	0	-507	1698	1280	-471	-270	31	847	-709	-172	141	648	-2681	5765	370
24	11310	2135	19	0	0	0	-28	1216	694	-785	-403	440	544	-372	-525	141	490	-1364	5047	371
25	13400	2301	52	0	0	0	-507	882	1672	-2564	-170	-348	621	-41	-136	135	648	-839	5196	400
26	15666	2188	31	0	0	0	436	882	1280	-2564	-170	31	293	262	-136	62	648	-2681	4988	436
27	13760	2182	47	0	0	0	436	1268	1280	-2564	-532	31	621	-73	-136	62	763	-2681	5164	478
28	20968	2092	25	0	0	0	672	1698	3037	-471	-241	202	544	-663	-116	135	2106	-4086	4679	476
29	21366	2578	22	0	0	0	436	1698	2297	-2564	-461	440	433	-49	-334	62	1180	-2681	5600	482
