# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: One-point
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	865	46	5	3738	2747	0	-938	710	978	400	52	-569	173	133	-379	724	483	592	3329	576
1	839	137	4	3471	1732	0	-938	710	713	309	52	895	173	-995	993	724	483	-702	10117	556
2	1945	218	9	3161	1590	0	912	710	978	27	-831	603	-283	-709	-379	555	627	743	14502	532
3	1594	271	22	2732	1428	0	799	1275	713	309	461	895	173	-704	401	60	483	-702	18160	496
4	1665	309	27	2774	1341	0	-938	710	978	-672	320	-374	173	133	269	105	1299	743	22753	491
5	2108	348	32	2880	1301	0	53	710	1047	23	73	734	173	133	401	60	910	743	25074	490
6	3902	465	22	2450	1411	0	53	710	1047	23	73	734	251	133	269	60	483	743	30674	481
7	3621	571	30	2481	1275	0	53	710	1047	23	73	57	251	-914	401	30	910	358	39227	469
8	7519	838	46	2417	1266	0	1160	710	978	-672	-831	42	173	-995	-75	102	999	-398	54798	431
9	8736	1396	32	2594	1382	0	1160	710	1611	-672	-1401	57	173	-914	-75	102	999	-398	76017	397
10	8675	1440	36	2381	1166	0	1054	1066	1047	-429	-831	734	173	-266	31	105	999	919	93704	385
11	11428	2016	13	2475	1264	0	722	925	1608	-672	-479	42	158	130	-75	60	999	1006	108122	375
12	16560	2106	32	2640	1340	0	722	925	1633	289	-579	568	158	130	-75	102	910	-398	115874	371
13	24568	2287	48	2478	1208	0	1054	808	1154	659	-980	537	173	-539	-75	34	856	1006	125001	352
14	11521	2450	39	2560	1331	0	1160	710	1633	18	-568	72	173	-914	-134	65	910	1165	125778	344
15	19329	2896	32	2183	1365	0	722	1248	978	-429	-579	734	157	-914	-75	28	458	1006	140235	339
16	13917	2905	48	2669	1321	0	699	1245	2640	23	-579	359	173	-79	-136	102	856	-398	154433	341
17	12502	2833	28	2251	1334	0	722	1245	1665	0	-579	42	173	-79	-68	102	1106	-398	149067	355
18	25503	3602	30	2323	1351	0	545	925	1608	-672	-831	568	267	-356	-75	65	910	1165	177703	352
19	30597	3846	24	2347	1314	0	230	710	1816	23	-579	359	172	-623	-68	66	1108	878	196600	341
20	17496	3515	106	2172	1277	0	722	1256	1608	-672	113	605	173	130	-136	40	856	-398	213002	326
21	23288	4119	89	2268	1336	0	545	840	2554	32	-523	359	332	-1098	-94	60	999	-260	210354	319
22	19208	3611	275	2187	1190	0	545	840	4368	32	-523	359	173	-1098	-75	60	1134	-260	215266	317
23	23176	3649	309	2209	1168	0	545	840	4368	-551	-282	420	776	-539	-75	102	910	-398	227597	307
24	16550	4321	63	2395	1345	0	722	840	4368	-1130	-338	420	158	-616	-75	65	1501	-398	219075	352
25	26690	4561	60	2407	1304	0	545	840	2792	-551	-282	87	776	-356	-75	60	910	725	222658	323
26	24809	4725	88	2289	1224	0	67	1468	2328	-551	-195	497	776	-356	-75	69	910	725	246451	318
27	23956	4540	130	2372	1265	0	545	1256	2792	-672	-282	568	776	-307	-75	66	910	-398	239206	300
28	23665	5165	243	2309	1249	0	547	1468	2328	-333	-195	497	424	-77	-125	69	1100	-398	276202	283
29	25409	4375	51	2107	1224	0	422	840	2792	-1130	-282	568	79	-99	-68	50	1108	-398	262183	286
