# Population size: 128
# Games: 0
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	399	39	5	0	0	0	-132	-294	713	309	-199	895	454	-995	993	733	590	-702	91	576
1	966	108	4	0	0	0	100	808	1329	-672	-831	-336	985	202	369	328	451	294	240	579
2	1064	185	10	0	0	0	-964	808	1329	-471	-831	-533	985	-758	369	685	877	-473	407	561
3	2247	239	7	0	0	0	-938	710	544	14	52	-569	454	490	-98	412	623	-702	581	546
4	1822	288	24	0	0	0	453	710	399	14	-901	805	247	490	-98	412	422	-702	650	517
5	1772	340	25	0	0	0	328	171	713	-348	-718	-789	247	-995	369	328	876	-90	729	506
6	3714	416	17	0	0	0	-132	394	1831	-471	-930	41	454	-1591	-98	335	1375	-702	912	481
7	3071	420	26	0	0	0	-1117	365	1329	-556	-687	36	247	490	724	709	716	314	962	474
8	2721	439	45	0	0	0	-938	1044	1329	14	30	-629	985	-814	369	450	591	-910	988	491
9	3820	545	37	0	0	0	-306	1044	531	-1108	-199	-248	146	391	-156	112	929	-473	1217	489
10	2131	515	40	0	0	0	-938	710	1933	-1630	52	-493	130	-1221	293	283	1375	-702	1163	481
11	4130	546	38	0	0	0	168	709	1329	-556	-718	-420	454	391	-98	112	1052	-473	1241	481
12	3153	584	53	0	0	0	-534	710	2295	-554	72	-493	517	-1009	293	90	1375	407	1293	456
13	5371	841	34	0	0	0	936	463	1329	-415	-718	-629	454	-1540	-34	136	1052	-702	1957	438
14	7583	761	47	0	0	0	-938	1044	1646	-556	75	-493	517	-1009	476	75	1375	407	1888	433
15	7916	1151	37	0	0	0	82	1044	1933	-986	81	-762	130	327	-34	145	1940	-890	2530	433
16	7937	1059	9	0	0	0	453	808	1933	-556	81	-762	322	327	-98	145	904	836	2413	455
17	10327	1412	19	0	0	0	453	1044	1329	-556	81	41	454	327	-98	90	904	836	3152	436
18	23918	1939	36	0	0	0	453	1687	1546	-556	32	41	803	327	-98	90	904	-702	4304	427
19	9689	1679	19	0	0	0	632	1441	1263	82	-106	-316	454	327	-65	136	1056	332	3731	408
20	11404	2079	57	0	0	0	168	711	1646	-1630	52	46	803	-1068	-98	90	433	-702	4702	398
21	19442	2659	73	0	0	0	-308	1044	2295	-1108	72	-493	655	30	-34	90	1185	134	6528	404
22	15352	2667	98	0	0	0	649	2047	1646	-556	-718	-16	653	327	-139	136	1539	-910	5715	426
23	14798	2536	42	0	0	0	-179	1687	1933	-556	81	-260	454	-814	-98	90	1140	-910	5477	448
24	14317	2927	23	0	0	0	618	1687	1646	-1108	-718	-100	942	98	-87	76	1140	-473	6680	434
25	22272	2377	38	0	0	0	548	1687	1646	-986	-718	-455	985	30	-52	93	1140	836	5456	442
26	19399	2983	49	0	0	0	-179	3026	1933	-556	47	-48	454	295	-50	97	1539	-567	6749	458
27	18520	2719	27	0	0	0	524	1242	1232	-2720	-718	41	569	30	-99	90	718	294	6000	462
28	18232	3028	38	0	0	0	54	3026	1933	-556	47	46	803	-814	-98	90	1140	-993	7062	437
29	16712	3337	36	0	0	0	-179	1920	1232	82	47	-100	985	49	-52	136	718	-702	7238	454
