# Population size: 128
# Games: 32
# Stopping after: 1000000 blocks
# Board size: 6x12
# Mutation std dev (player weights): 0.5
# Mutation rate (player genes): 0.0833333
# Mutation rate (block selector genes) 0.0001
# Block selector crossover: Uniform
# Generations: 30
# Threads: 8
# Board rating function: Linear

Gen	Max-p	Mean-p	Min-p	Max-s	Mean-s	Min-s	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	Time	sd-w
0	409	42	5	3678	2727	0	799	808	-481	579	-831	-336	985	-814	401	555	627	743	3122	576
1	1099	155	6	3594	1891	0	-554	925	737	75	843	42	-468	-175	464	60	999	-128	10112	555
2	1291	212	13	3154	1590	0	973	500	737	822	-987	14	952	619	666	685	448	453	15400	528
3	4452	274	11	3316	1562	0	576	576	117	-471	-718	747	-468	-153	-98	72	999	643	17684	529
4	4189	355	8	3698	1482	0	576	576	713	309	-166	-1056	454	-153	844	72	999	662	21475	519
5	1542	337	13	2780	1541	0	-132	599	1483	98	-831	-336	952	14	-155	733	483	453	22576	481
6	3339	379	15	2687	1516	0	576	599	1483	-205	-267	-1116	952	596	-155	222	483	453	24963	480
7	4194	415	12	3062	1435	0	576	889	1483	-205	-267	-569	952	616	-557	231	483	-245	29182	480
8	4313	559	13	2568	1446	0	576	889	783	309	-267	-569	454	133	-557	231	999	-245	31700	480
9	3071	563	21	2440	1235	0	605	1395	978	-471	-718	747	317	-740	-155	72	363	-529	40151	466
10	16014	966	23	2756	1498	0	-157	1223	2247	-173	-267	68	865	-995	-234	72	590	463	56522	451
11	7090	1016	58	2469	1212	0	605	481	1656	101	-166	-569	1150	-153	-97	62	321	643	82337	450
12	7507	1094	16	2312	1178	0	751	710	1483	-173	-267	747	454	-557	-97	72	999	63	85912	431
13	23541	1888	12	2727	1330	0	-157	1395	2247	-471	-154	68	705	-740	-234	72	590	-245	111017	396
14	12231	2302	44	2298	1267	0	-157	1376	2247	-471	-166	-569	1292	-740	-234	72	964	-245	145853	345
15	10776	1887	40	2602	1096	0	605	1395	2247	-471	-166	68	705	-237	-234	72	556	-245	151095	334
16	32045	2854	28	2436	1075	0	1007	1395	2247	-320	-718	68	860	-740	-232	72	1142	561	166995	316
17	21097	3327	192	2316	1034	0	523	1395	2247	29	-267	-214	1292	-709	-120	72	574	643	231938	284
18	16682	3152	50	2284	1169	0	608	1395	2247	-320	-144	77	1239	-709	-234	38	501	504	207575	292
19	21738	3529	21	2384	1088	0	189	1944	2247	-471	-217	68	884	-237	-277	144	556	643	229114	287
20	22938	3727	55	2316	1107	0	425	2401	2247	-173	-267	-320	1814	-153	-234	72	574	65	244049	294
21	19151	3818	54	2308	1134	0	523	1563	2247	-140	-267	-92	914	-153	-77	72	737	643	243165	290
22	23003	3407	48	2287	985	0	523	1395	2247	-173	-267	-92	1298	-250	-135	78	736	985	254425	281
23	25327	3988	237	2351	1076	0	425	1119	2247	-471	-475	68	884	-740	-120	98	574	-362	265836	270
24	30403	4531	78	2242	1092	0	523	1565	2512	-471	-267	83	884	-153	-120	72	737	63	284700	288
25	22613	4169	93	2325	1169	0	1130	1223	3741	-173	-360	-320	1106	-1100	-232	77	964	-245	274088	281
26	24814	4886	95	2294	1200	0	425	1395	2692	-173	-412	68	883	-153	-120	110	696	-362	278079	278
27	34339	5046	116	2349	1149	0	110	1395	2512	-471	-360	-320	1298	-237	-97	88	262	-362	322357	256
28	16891	4158	108	2211	1196	0	425	1317	2692	-554	-412	68	1106	-250	-87	52	589	65	287783	270
29	38802	5201	202	2257	1194	0	425	1967	2458	-173	-173	-320	1298	-237	-353	110	574	-362	298312	260
